"pair_id","votes_item_1","votes_item_2","votes_tie","missing_judgments","majority_outcome","s3_direction","full_modelrank_direction","alltime_derivcount_direction","current_derivcount_direction","vanilla_pagerank_direction","downloads_direction","likes_direction"
"P001","0","1","2","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P002","0","3","0","0","item_2","item_1","item_2","tie","tie","tie","item_1","tie"
"P003","3","0","0","0","item_1","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P004","3","0","0","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P005","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P006","3","0","0","0","item_1","item_1","item_2","tie","tie","tie","item_1","item_2"
"P007","3","0","0","0","item_1","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P008","0","3","0","0","item_2","item_2","item_1","item_2","tie","item_2","item_1","tie"
"P009","3","0","0","0","item_1","item_2","item_1","tie","tie","tie","item_2","tie"
"P010","3","0","0","0","item_1","item_1","item_2","tie","tie","tie","item_1","tie"
"P011","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P012","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","tie","item_1"
"P013","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","item_2"
"P014","1","0","2","0","tie","item_2","item_2","tie","tie","tie","item_2","item_2"
"P015","3","0","0","0","item_1","item_1","item_1","tie","tie","tie","item_1","tie"
"P016","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P017","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P018","0","0","3","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P019","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P020","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P021","3","0","0","0","item_1","item_2","item_2","tie","tie","tie","item_2","tie"
"P022","1","0","2","0","tie","item_2","item_1","tie","tie","tie","item_2","tie"
"P023","1","0","2","0","tie","item_2","item_2","tie","tie","tie","item_2","tie"
"P024","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P025","0","1","2","0","tie","item_1","item_2","item_1","tie","item_1","item_2","tie"
"P026","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P027","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P028","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P029","0","0","3","0","tie","item_1","item_2","tie","tie","tie","item_1","tie"
"P030","0","3","0","0","item_2","item_1","item_1","tie","tie","tie","item_1","tie"
"P031","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P032","1","0","2","0","tie","item_2","item_2","tie","tie","tie","item_2","item_2"
"P033","0","0","3","0","tie","item_1","item_1","tie","tie","tie","item_1","tie"
"P034","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","item_2"
"P035","0","3","0","0","item_2","item_2","item_2","tie","tie","tie","item_2","tie"
"P036","0","3","0","0","item_2","item_2","item_2","item_2","tie","item_2","item_2","item_2"
