horizon,outcome,model,coefficient,standard_error,ci_low,ci_high,p_value,n,clusters,effect,effect_ci_low,effect_ci_high,effect_unit,status,reason,holm_p_value,holm_family_size,ci_only_direction,holm_supported_direction
1,future_download_p90_crossing,cluster_robust_logistic,0.18145126238800144,0.16255676915334388,-0.13715415059574418,0.500056675371747,0.26432232733718475,14066.0,7033.0,1.1989561010284624,0.871835821761803,1.6488147152390293,odds ratio for HR versus balanced LT,ok,included,0.9633021398657898,12,null,no_supported_difference
1,future_pr,cluster_robust_logistic,0.291108848530683,0.1676615441822464,-0.03750173965889103,0.619719436720257,0.08251279609778936,14066.0,7033.0,1.3379102055846046,0.9631927420925467,1.8584065680547346,odds ratio for HR versus balanced LT,ok,included,0.49507677658673616,12,null,no_supported_difference
1,future_log_download_change,cluster_robust_ols,0.037712121466968083,0.009357365938832641,0.019372021236694275,0.05605222169724189,5.5727761125203476e-05,14066.0,7033.0,0.037712121466968083,0.019372021236694275,0.05605222169724189,adjusted log-download difference for HR versus balanced LT,ok,included,0.0006130053723772382,12,positive,positive
1,future_active_parent,cluster_robust_logistic,-0.2527737990588321,0.19403106559514147,-0.6330676995072382,0.12752010138957393,0.19266042797315797,14066.0,7033.0,0.7766435394556048,0.5309604728929539,1.1360077033450564,odds ratio for HR versus balanced LT,ok,included,0.9633021398657898,12,null,no_supported_difference
3,future_download_p90_crossing,cluster_robust_logistic,0.2967420026391258,0.11046782497727897,0.0802290442331848,0.5132549610450668,0.007226329251157647,12836.0,6418.0,1.3454681274392726,1.0835352167481653,1.6707204841831071,odds ratio for HR versus balanced LT,ok,included,0.06503696326041883,12,positive,no_supported_difference
3,future_pr,cluster_robust_logistic,0.3345030992661222,0.11267403667044494,0.11366604539930478,0.5553401531329396,0.0029899603145556422,12836.0,6418.0,1.3972459201735181,1.1203779070451714,1.7425336122437733,odds ratio for HR versus balanced LT,ok,included,0.02989960314555642,12,positive,positive
3,future_log_download_change,cluster_robust_ols,0.044951744045513095,0.01027079849877486,0.024821348895446318,0.06508213919557987,1.2051436809945533e-05,12836.0,6418.0,0.044951744045513095,0.024821348895446318,0.06508213919557987,adjusted log-download difference for HR versus balanced LT,ok,included,0.0001446172417193464,12,positive,positive
3,future_active_parent,cluster_robust_logistic,-0.3962600643043036,0.14796498015883608,-0.686266096388806,-0.10625403221980123,0.007404850353630542,12836.0,6418.0,0.6728316936761228,0.5034524066134051,0.8991961942545736,odds ratio for HR versus balanced LT,ok,included,0.06503696326041883,12,adverse,no_supported_difference
6,future_download_p90_crossing,cluster_robust_logistic,0.048042417874107665,0.11743311459484375,-0.18212225732415105,0.2782070930723664,0.6824629599974089,10098.0,5049.0,1.0492151598571327,0.833499432776052,1.3207596890708504,odds ratio for HR versus balanced LT,ok,included,0.9633021398657898,12,null,no_supported_difference
6,future_pr,cluster_robust_logistic,0.1273575083895554,0.12003045980314157,-0.10789786987238476,0.36261288665149555,0.28867024930370266,10098.0,5049.0,1.135823011459736,0.8977192759329492,1.437079438915625,odds ratio for HR versus balanced LT,ok,included,0.9633021398657898,12,null,no_supported_difference
6,future_log_download_change,cluster_robust_ols,0.031413523024227924,0.012800774255797431,0.0063244665086374455,0.0565025795398184,0.014126399946916024,10098.0,5049.0,0.031413523024227924,0.0063244665086374455,0.0565025795398184,adjusted log-download difference for HR versus balanced LT,ok,included,0.09888479962841216,12,positive,no_supported_difference
6,future_active_parent,cluster_robust_logistic,-0.1661363545917258,0.13718499736429673,-0.43501400864496964,0.10274129946151803,0.2258805346965681,10098.0,5049.0,0.8469307434199912,0.6472555998406221,1.1082046788418087,odds ratio for HR versus balanced LT,ok,included,0.9633021398657898,12,null,no_supported_difference
