horizon,outcome,model,coefficient,standard_error,ci_low,ci_high,p_value,n,clusters,effect,effect_ci_low,effect_ci_high,effect_unit,status,reason,holm_p_value,holm_family_size,ci_only_direction,holm_supported_direction
1,future_download_p90_crossing,cluster_robust_logistic,0.09469968866003871,0.09634122305791905,-0.09412563876002243,0.28352501608009983,0.325626512475522,48702.0,24351.0,1.0993286646842684,0.9101684026273996,1.3278020963019916,odds ratio for HR versus balanced LT,ok,included,0.493015451853805,12,null,no_supported_difference
1,future_pr,cluster_robust_logistic,0.19351736130082664,0.10097143175577308,-0.004383008407932515,0.39141773100958577,0.05529441536655675,48702.0,24351.0,1.2135104544886726,0.9956265829552942,1.4790762403934608,odds ratio for HR versus balanced LT,ok,included,0.20084523175939017,12,null,no_supported_difference
1,future_log_download_change,cluster_robust_ols,0.032868945263884654,0.004734939417701738,0.02358863453621019,0.042149255991559116,3.8716815789183966e-12,48702.0,24351.0,0.032868945263884654,0.02358863453621019,0.042149255991559116,adjusted log-download difference for HR versus balanced LT,ok,included,4.6460178947020756e-11,12,positive,positive
1,future_active_parent,cluster_robust_logistic,-0.3304757858003198,0.14739444587897158,-0.6193635912443423,-0.041587980356297294,0.024953726962409318,48702.0,24351.0,0.7185817610872903,0.5382868991060107,0.959264935157969,odds ratio for HR versus balanced LT,ok,included,0.17467608873686521,12,adverse,no_supported_difference
3,future_download_p90_crossing,cluster_robust_logistic,0.139947390424005,0.06820027197488374,0.006277313617396502,0.27361746723061353,0.040169046351878034,40736.0,20368.0,1.1502132850322084,1.0062970572412084,1.3147117856943757,odds ratio for HR versus balanced LT,ok,included,0.20084523175939017,12,positive,no_supported_difference
3,future_pr,cluster_robust_logistic,0.2027133933018316,0.07105454260644543,0.06344904885523178,0.34197773774843143,0.004331862848312451,40736.0,20368.0,1.2247214045833597,1.0655051957089297,1.407728957949057,odds ratio for HR versus balanced LT,ok,included,0.038986765634812064,12,positive,positive
3,future_log_download_change,cluster_robust_ols,0.03718930687581365,0.005827255100484841,0.025768096750136027,0.04861051700149127,1.7483604621258158e-10,40736.0,20368.0,0.03718930687581365,0.025768096750136027,0.04861051700149127,adjusted log-download difference for HR versus balanced LT,ok,included,1.9231965083383973e-09,12,positive,positive
3,future_active_parent,cluster_robust_logistic,-0.3162957061737041,0.11211506958659202,-0.5360372046876265,-0.09655420765978179,0.004784879187436451,40736.0,20368.0,0.7288438946593299,0.5850621461323947,0.9079606778421982,odds ratio for HR versus balanced LT,ok,included,0.038986765634812064,12,adverse,adverse
6,future_download_p90_crossing,cluster_robust_logistic,0.08574124712335196,0.0739867141375882,-0.05927004792078136,0.23075254216748528,0.2465077259269025,26954.0,13477.0,1.0895243742624734,0.9424522275249485,1.259547515983361,odds ratio for HR versus balanced LT,ok,included,0.493015451853805,12,null,no_supported_difference
6,future_pr,cluster_robust_logistic,0.16339845861506586,0.07647993855517869,0.013500533507079332,0.31329638372305235,0.03263967120062878,26954.0,13477.0,1.1775057835487606,1.0135920772086104,1.3679269022200697,odds ratio for HR versus balanced LT,ok,included,0.1958380272037727,12,positive,no_supported_difference
6,future_log_download_change,cluster_robust_ols,0.040361376002899546,0.007969130460452176,0.024742167312312185,0.05598058469348691,4.0901140795291434e-07,26954.0,13477.0,0.040361376002899546,0.024742167312312185,0.05598058469348691,adjusted log-download difference for HR versus balanced LT,ok,included,4.090114079529143e-06,12,positive,positive
6,future_active_parent,cluster_robust_logistic,-0.21906526191321682,0.11094338712881374,-0.43651030500857635,-0.0016202188178572885,0.04831719363022773,26954.0,13477.0,0.8032692935520547,0.6462878378501905,0.9983810930280634,odds ratio for HR versus balanced LT,ok,included,0.20084523175939017,12,adverse,no_supported_difference
