horizon,origin_month,before,after
1,2025-02,1758,1535
1,2025-03,1585,1454
1,2025-04,1853,1687
1,2025-05,2959,2692
1,2025-06,2104,2039
1,2025-07,1640,1533
1,2025-08,2759,2537
1,2025-09,2899,2520
1,2025-10,2352,2027
1,2025-11,2540,2344
1,2025-12,2124,1955
1,2026-01,2381,2028
3,2025-02,1758,1535
3,2025-03,1585,1454
3,2025-04,1853,1687
3,2025-05,2959,2692
3,2025-06,2104,2039
3,2025-07,1640,1533
3,2025-08,2759,2537
3,2025-09,2899,2520
3,2025-10,2352,2027
3,2025-11,2540,2344
6,2025-02,1758,1535
6,2025-03,1585,1454
6,2025-04,1853,1687
6,2025-05,2959,2692
6,2025-06,2104,2039
6,2025-07,1640,1533
6,2025-08,2759,2537
