version,month,role,count,n,share,download_p90
corrected,2024-07,Long Tail,118941,136705,0.8700559599136828,219.0
corrected,2024-07,Popular Root,9601,136705,0.07023152042719726,219.0
corrected,2024-07,Popular Leaf,4092,136705,0.029933067554222596,219.0
corrected,2024-07,Hidden Root,4071,136705,0.029779452104897408,219.0
corrected,2024-08,Long Tail,151408,174484,0.8677471859884001,116.0
corrected,2024-08,Popular Root,11845,174484,0.06788588065381353,116.0
corrected,2024-08,Popular Leaf,5622,174484,0.0322207193782811,116.0
corrected,2024-08,Hidden Root,5609,174484,0.03214621397950528,116.0
corrected,2024-09,Long Tail,221322,254016,0.8712915721844293,100.0
corrected,2024-09,Popular Root,18204,254016,0.07166477702191988,100.0
corrected,2024-09,Popular Leaf,7259,254016,0.02857694003527337,100.0
corrected,2024-09,Hidden Root,7231,254016,0.028466710758377426,100.0
corrected,2024-10,Long Tail,243353,278265,0.8745368623434496,75.0
corrected,2024-10,Popular Root,20790,278265,0.07471295347959679,75.0
corrected,2024-10,Popular Leaf,7065,278265,0.025389466875101074,75.0
corrected,2024-10,Hidden Root,7057,278265,0.02536071730185255,75.0
corrected,2024-11,Long Tail,266118,306140,0.8692689619128503,82.0
corrected,2024-11,Popular Root,21329,306140,0.06967073887763768,82.0
corrected,2024-11,Popular Leaf,9389,306140,0.030668974978767884,82.0
corrected,2024-11,Hidden Root,9304,306140,0.030391324230744105,82.0
corrected,2024-12,Long Tail,298268,343340,0.8687248791285606,51.0
corrected,2024-12,Popular Root,23906,343340,0.06962777421797635,51.0
corrected,2024-12,Popular Leaf,10725,343340,0.03123725752898002,51.0
corrected,2024-12,Hidden Root,10441,343340,0.03041008912448302,51.0
corrected,2025-01,Long Tail,343984,399316,0.861433050516383,119.0
corrected,2025-01,Popular Root,24667,399316,0.061773132055815444,119.0
corrected,2025-01,Popular Leaf,15378,399316,0.038510853559586895,119.0
corrected,2025-01,Hidden Root,15287,399316,0.03828296386821465,119.0
corrected,2025-02,Long Tail,373750,434003,0.8611691624251445,111.0
corrected,2025-02,Popular Root,26711,434003,0.061545657518496416,111.0
corrected,2025-02,Popular Leaf,16852,434003,0.03882922468277869,111.0
corrected,2025-02,Hidden Root,16690,434003,0.03845595537358037,111.0
corrected,2025-03,Long Tail,403135,467627,0.8620866630883162,61.0
corrected,2025-03,Popular Root,29288,467627,0.06263111411445448,61.0
corrected,2025-03,Popular Leaf,17692,467627,0.03783357248405246,61.0
corrected,2025-03,Hidden Root,17512,467627,0.03744865031317696,61.0
corrected,2025-04,Long Tail,431055,499532,0.8629176909587374,48.0
corrected,2025-04,Popular Root,31457,499532,0.06297294267434318,48.0
corrected,2025-04,Hidden Root,18518,499532,0.03707069817349039,48.0
corrected,2025-04,Popular Leaf,18502,499532,0.03703866819342905,48.0
corrected,2025-05,Long Tail,456250,529182,0.862179741563394,29.0
corrected,2025-05,Popular Root,33337,529182,0.06299722968657286,29.0
corrected,2025-05,Popular Leaf,20012,529182,0.03781685696036524,29.0
corrected,2025-05,Hidden Root,19583,529182,0.03700617178966783,29.0
corrected,2025-06,Long Tail,473209,552524,0.8564496745842715,73.0
corrected,2025-06,Popular Root,31533,552524,0.05707082407280046,73.0
corrected,2025-06,Popular Leaf,24052,552524,0.043531140728728525,73.0
corrected,2025-06,Hidden Root,23730,552524,0.042948360614199564,73.0
corrected,2025-07,Long Tail,495071,574437,0.8618368942112016,46.0
corrected,2025-07,Popular Root,35782,574437,0.06229055579637106,46.0
corrected,2025-07,Popular Leaf,21922,574437,0.03816258353831665,46.0
corrected,2025-07,Hidden Root,21662,574437,0.03770996645411072,46.0
corrected,2025-08,Long Tail,513725,595863,0.862152877423166,37.0
corrected,2025-08,Popular Root,37673,595863,0.06322426463801242,37.0
corrected,2025-08,Popular Leaf,22519,595863,0.037792244190359196,37.0
corrected,2025-08,Hidden Root,21946,595863,0.03683061374846231,37.0
corrected,2025-09,Long Tail,531599,614625,0.8649160056945292,56.0
corrected,2025-09,Popular Root,39994,614625,0.06507057148667887,56.0
corrected,2025-09,Popular Leaf,21534,614625,0.03503599755948749,56.0
corrected,2025-09,Hidden Root,21498,614625,0.03497742525930445,56.0
corrected,2025-10,Long Tail,549217,634093,0.8661458177270527,56.0
corrected,2025-10,Popular Root,42382,634093,0.06683877601550561,56.0
corrected,2025-10,Popular Leaf,21358,634093,0.03368275631492541,56.0
corrected,2025-10,Hidden Root,21136,634093,0.03333264994251632,56.0
corrected,2025-11,Long Tail,557126,652368,0.8540057145660118,89.0
corrected,2025-11,Popular Root,35566,652368,0.054518308684668774,89.0
corrected,2025-11,Popular Leaf,30005,652368,0.04599397885855836,89.0
corrected,2025-11,Hidden Root,29671,652368,0.045481997890761044,89.0
corrected,2025-12,Long Tail,577574,673096,0.8580856222589348,55.0
corrected,2025-12,Popular Root,39833,673096,0.05917877984715405,55.0
corrected,2025-12,Popular Leaf,28175,673096,0.04185881360162592,55.0
corrected,2025-12,Hidden Root,27514,673096,0.0408767842922852,55.0
corrected,2026-01,Long Tail,602772,693725,0.8688918519586292,30.0
corrected,2026-01,Popular Root,48585,693725,0.07003495621463837,30.0
corrected,2026-01,Popular Leaf,21558,693725,0.031075714440160006,30.0
corrected,2026-01,Hidden Root,20810,693725,0.029997477386572487,30.0
corrected,2026-02,Long Tail,624623,721364,0.8658915609872408,45.0
corrected,2026-02,Popular Root,48154,721364,0.06675409363372721,45.0
corrected,2026-02,Popular Leaf,24394,721364,0.033816492089985085,45.0
corrected,2026-02,Hidden Root,24193,721364,0.03353785328904686,45.0
