month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2024-07,0.5,percentile_with_ties,136705,72153,0.527800738817161,0,0.0,2181,0.0159540616656303,62371,0.4562451995172086,not_estimable_empty_group,0.0,,,,,,3.0,0.3630898614076372,13481,12453,72153,74334,False
2024-07,0.7,percentile_with_ties,136705,37468,0.2740792216817234,5042,0.0368823378808383,3545,0.0259317508503712,90650,0.6631066895870671,estimable,1.0,0.0,15684107.0,0.0,-0.7549740990909086,0.7549740990909086,8.0,0.6873420372836803,1773,2,42510,41013,False
2024-07,0.8,percentile_with_ties,136705,23274,0.1702498079806883,4590,0.0335759482096485,4067,0.0297501920193116,104774,0.7664240517903514,estimable,1.0,0.0,17136824.5,0.0,-0.8360034241273484,0.8360034241273484,22.0,1.1401263309377063,606,0,27864,27341,False
2024-07,0.85,percentile_with_ties,136705,15943,0.1166233861234044,4590,0.0335759482096485,4609,0.0337149336161808,111563,0.8160857320507663,estimable,1.0,0.0,19705712.5,0.0,-0.8629566288558286,0.8629566288558286,76.0,1.424308947636195,52,48,20533,20552,False
2024-07,0.9,percentile_with_ties,136705,9601,0.0702315204271972,4092,0.0299330675542225,4071,0.0297794521048974,118941,0.8700559599136828,estimable,1.0,0.0,15897404.5,0.0,-0.9086200992980652,0.9086200992980652,219.0,1.8558965922405413,42,2,13693,13672,False
2024-07,0.95,percentile_with_ties,136705,3895,0.0284920083391243,2947,0.0215573680553015,2941,0.0215134779269229,126922,0.9284371456786512,estimable,3.0,0.0,8526166.5,0.0,-0.9674723815631175,0.9674723815631175,869.0,2.826225804795912,25,0,6842,6836,False
2024-08,0.5,percentile_with_ties,174484,87248,0.5000343871071273,0,0.0,5433,0.0311375255037711,81803,0.4688280873891016,not_estimable_empty_group,1.0,,,,,,4.0,0.0599912668759677,14557,13111,87248,92681,False
2024-08,0.7,percentile_with_ties,174484,45866,0.2628665092501318,6872,0.0393847000298021,6512,0.0373214736021641,115234,0.6604273171179019,estimable,1.0,0.0,37881182.5,0.0,-0.6929961888216398,0.6929961888216398,9.0,0.0956076405545203,4299,1991,52738,52378,False
2024-08,0.8,percentile_with_ties,174484,29155,0.1670926847160771,6284,0.0360147635313266,5742,0.0329084615208271,133303,0.763984090231769,estimable,1.0,0.0,33051847.0,0.0,-0.832003777541432,0.832003777541432,19.0,0.1436101164937157,896,0,35439,34897,False
2024-08,0.85,percentile_with_ties,174484,20175,0.1156266477155498,6019,0.0344959996332041,5998,0.0343756447582586,142292,0.8155017078929874,estimable,1.0,0.0,33479694.5,0.0,-0.8547299174488079,0.8547299174488079,48.0,0.1790677244684971,172,0,26194,26173,False
2024-08,0.9,percentile_with_ties,174484,11845,0.0678858806538135,5622,0.0322207193782811,5609,0.0321462139795052,151408,0.8677471859884001,estimable,2.0,0.0,30238751.0,0.0,-0.9178629228233148,0.9178629228233148,116.0,0.2308944160471986,73,12,17467,17454,False
2024-08,0.95,percentile_with_ties,174484,4821,0.0276300405767864,3904,0.0223745443708305,3904,0.0223745443708305,161855,0.9276208706815524,estimable,2.0,0.0,15056919.5,0.0,-0.9758160372505712,0.9758160372505712,504.8500000000058,0.3798746261981649,0,0,8725,8725,False
2024-09,0.5,percentile_with_ties,254016,127634,0.5024644116906022,15102,0.0594529478458049,1918,0.0075507054673721,109362,0.4305319349962207,estimable,1.0,0.0,23180671.5,0.0,-0.600563612689188,0.600563612689188,3.0,0.0703686658966079,16269,21442,142736,129552,False
2024-09,0.7,percentile_with_ties,254016,71024,0.2796044343663391,9151,0.0360252897455278,5190,0.0204317838246409,168651,0.6639384920634921,estimable,1.0,0.0,39526765.0,0.0,-0.6645059585810242,0.6645059585810242,7.0,0.1006748007211756,6249,2957,80175,76214,False
2024-09,0.8,percentile_with_ties,254016,43555,0.1714655769715293,7886,0.0310452884857646,7656,0.0301398337112622,194919,0.7673493008314437,estimable,1.0,0.0,51837177.0,0.0,-0.7171674218109629,0.7171674218109629,16.0,0.1441022617162178,1283,617,51441,51211,False
2024-09,0.85,percentile_with_ties,254016,31319,0.123295382968002,7113,0.0280021730914588,6819,0.0268447656840514,208765,0.8218576782564878,estimable,1.0,0.0,44966716.0,0.0,-0.8541619646909535,0.8541619646909535,30.0,0.1881845308856164,482,67,38432,38138,False
2024-09,0.9,percentile_with_ties,254016,18204,0.0716647770219198,7259,0.0285769400352733,7231,0.0284667107583774,221322,0.8712915721844293,estimable,1.0,0.0,49805459.0,0.0,-0.8977184703726127,0.8977184703726127,100.0,0.2475988486003169,68,39,25463,25435,False
