origin_role,future_role,count,row_total,rate,month,version
Popular Root,Popular Root,8409,9601,0.8758462660139569,2024-08,corrected
Popular Root,Popular Leaf,127,9601,0.013227788772002917,2024-08,corrected
Popular Root,Hidden Root,761,9601,0.07926257681491511,2024-08,corrected
Popular Root,Long Tail,304,9601,0.03166336839912509,2024-08,corrected
Popular Leaf,Popular Root,865,4092,0.2113880742913001,2024-08,corrected
Popular Leaf,Popular Leaf,1585,4092,0.3873411534701857,2024-08,corrected
Popular Leaf,Hidden Root,28,4092,0.006842619745845552,2024-08,corrected
Popular Leaf,Long Tail,1614,4092,0.3944281524926686,2024-08,corrected
Hidden Root,Popular Root,405,4071,0.09948415622697127,2024-08,corrected
Hidden Root,Popular Leaf,0,4071,0.0,2024-08,corrected
Hidden Root,Hidden Root,3141,4071,0.7715549005158437,2024-08,corrected
Hidden Root,Long Tail,525,4071,0.12896094325718496,2024-08,corrected
Long Tail,Popular Root,809,118941,0.006801691594992475,2024-08,corrected
Long Tail,Popular Leaf,1169,118941,0.009828402317115209,2024-08,corrected
Long Tail,Hidden Root,1046,118941,0.008794276153723274,2024-08,corrected
Long Tail,Long Tail,115917,118941,0.974575629934169,2024-08,corrected
Popular Root,Popular Root,10892,11845,0.9195441114394259,2024-09,corrected
Popular Root,Popular Leaf,118,11845,0.009962009286618827,2024-09,corrected
Popular Root,Hidden Root,382,11845,0.032249894470240605,2024-09,corrected
Popular Root,Long Tail,453,11845,0.038243984803714645,2024-09,corrected
Popular Leaf,Popular Root,1694,5622,0.30131625755958735,2024-09,corrected
Popular Leaf,Popular Leaf,879,5622,0.15635005336179295,2024-09,corrected
Popular Leaf,Hidden Root,19,5622,0.0033795802205620774,2024-09,corrected
Popular Leaf,Long Tail,3030,5622,0.5389541088580576,2024-09,corrected
Hidden Root,Popular Root,476,5609,0.0848636120520592,2024-09,corrected
Hidden Root,Popular Leaf,0,5609,0.0,2024-09,corrected
Hidden Root,Hidden Root,4391,5609,0.7828489926903192,2024-09,corrected
Hidden Root,Long Tail,742,5609,0.13228739525762168,2024-09,corrected
Long Tail,Popular Root,2356,151408,0.015560604459473739,2024-09,corrected
Long Tail,Popular Leaf,1581,151408,0.010441984571488956,2024-09,corrected
Long Tail,Hidden Root,1687,151408,0.011142079678748812,2024-09,corrected
Long Tail,Long Tail,145784,151408,0.9628553312902884,2024-09,corrected
Popular Root,Popular Root,14694,18204,0.8071852340145023,2024-10,corrected
Popular Root,Popular Leaf,1623,18204,0.08915622940013183,2024-10,corrected
Popular Root,Hidden Root,253,18204,0.013898044385849264,2024-10,corrected
Popular Root,Long Tail,1634,18204,0.0897604921995166,2024-10,corrected
Popular Leaf,Popular Root,581,7259,0.08003857280617165,2024-10,corrected
Popular Leaf,Popular Leaf,1299,7259,0.17895026863204297,2024-10,corrected
Popular Leaf,Hidden Root,6,7259,0.0008265601322496211,2024-10,corrected
Popular Leaf,Long Tail,5373,7259,0.7401845984295358,2024-10,corrected
Hidden Root,Popular Root,1286,7231,0.17784538791315171,2024-10,corrected
Hidden Root,Popular Leaf,2,7231,0.00027658691743880515,2024-10,corrected
Hidden Root,Hidden Root,4732,7231,0.6544046466602129,2024-10,corrected
Hidden Root,Long Tail,1211,7231,0.16747337850919652,2024-10,corrected
Long Tail,Popular Root,1499,221322,0.00677293716846947,2024-10,corrected
Long Tail,Popular Leaf,2207,221322,0.009971896151308952,2024-10,corrected
Long Tail,Hidden Root,1311,221322,0.005923496082630737,2024-10,corrected
Long Tail,Long Tail,216305,221322,0.9773316705975909,2024-10,corrected
Popular Root,Popular Root,15624,20790,0.7515151515151515,2024-11,corrected
Popular Root,Popular Leaf,2061,20790,0.09913419913419913,2024-11,corrected
Popular Root,Hidden Root,697,20790,0.03352573352573353,2024-11,corrected
Popular Root,Long Tail,2408,20790,0.11582491582491583,2024-11,corrected
Popular Leaf,Popular Root,458,7065,0.06482661004953999,2024-11,corrected
Popular Leaf,Popular Leaf,1789,7065,0.25322009907997167,2024-11,corrected
Popular Leaf,Hidden Root,91,7065,0.012880396319886765,2024-11,corrected
Popular Leaf,Long Tail,4727,7065,0.6690728945506016,2024-11,corrected
Hidden Root,Popular Root,452,7057,0.06404987955221765,2024-11,corrected
Hidden Root,Popular Leaf,0,7057,0.0,2024-11,corrected
Hidden Root,Hidden Root,5408,7057,0.766331302253082,2024-11,corrected
Hidden Root,Long Tail,1197,7057,0.1696188181947003,2024-11,corrected
Long Tail,Popular Root,707,243353,0.002905244644610915,2024-11,corrected
Long Tail,Popular Leaf,1124,243353,0.004618804781531356,2024-11,corrected
Long Tail,Hidden Root,2110,243353,0.008670532107678968,2024-11,corrected
Long Tail,Long Tail,239412,243353,0.9838054184661787,2024-11,corrected
Popular Root,Popular Root,16126,21329,0.7560598246518824,2024-12,corrected
Popular Root,Popular Leaf,1798,21329,0.08429837310703736,2024-12,corrected
Popular Root,Hidden Root,500,21329,0.023442261709409724,2024-12,corrected
Popular Root,Long Tail,2905,21329,0.1361995405316705,2024-12,corrected
Popular Leaf,Popular Root,575,9389,0.06124187879433379,2024-12,corrected
Popular Leaf,Popular Leaf,2090,9389,0.22260091596549153,2024-12,corrected
Popular Leaf,Hidden Root,10,9389,0.0010650761529449357,2024-12,corrected
Popular Leaf,Long Tail,6714,9389,0.7150921290872297,2024-12,corrected
Hidden Root,Popular Root,1131,9304,0.12156061908856405,2024-12,corrected
Hidden Root,Popular Leaf,43,9304,0.004621668099742046,2024-12,corrected
Hidden Root,Hidden Root,6578,9304,0.7070077386070507,2024-12,corrected
Hidden Root,Long Tail,1552,9304,0.16680997420464316,2024-12,corrected
Long Tail,Popular Root,1158,266118,0.004351453114783668,2024-12,corrected
Long Tail,Popular Leaf,2350,266118,0.0088306691016767,2024-12,corrected
