month,n_active_bases,top1_share,top10_share,top50_share,gini,median_derivs,mean_derivs,top1_model,top1_count
2024-07,2532,10.095401544596436,47.0243803947302,63.500075715511585,0.814,1.0,7.8,Qwen/Qwen1.5-7B,2000
2024-08,2554,18.117715927837793,71.04997073066893,80.27247086371135,0.899,1.0,14.7,Qwen/Qwen1.5-0.5B,6809
2024-09,3122,25.388340987226783,81.25297999949811,87.53419157318879,0.938,2.0,25.5,Qwen/Qwen1.5-0.5B,20234
2024-10,3635,10.221589754015044,41.62228095141289,55.82842041065257,0.793,1.0,6.8,black-forest-labs/FLUX.1-dev,2514
2024-11,7217,9.7475106685633,23.659317211948792,38.758890469416784,0.678,1.0,3.9,black-forest-labs/FLUX.1-dev,2741
2024-12,7673,7.439302759908695,24.90921352977796,36.93193608632496,0.733,1.0,5.0,black-forest-labs/FLUX.1-dev,2868
2025-01,6565,6.906411718270328,14.147881764757479,27.667748443119024,0.822,1.0,8.7,black-forest-labs/FLUX.1-dev,3937
2025-02,6123,11.310752748172535,21.08699291334189,33.53886501869315,0.739,1.0,5.9,black-forest-labs/FLUX.1-dev,4054
2025-03,7490,12.323452241388935,25.63501367721766,38.20688885167197,0.719,1.0,4.8,black-forest-labs/FLUX.1-dev,4415
2025-04,5828,7.594630547829241,26.51771677349135,40.16507437416858,0.746,1.0,5.7,black-forest-labs/FLUX.1-dev,2512
2025-05,5201,7.956728338893944,17.133420955077007,32.71998112762444,0.733,1.0,5.7,black-forest-labs/FLUX.1-dev,2361
2025-06,5117,9.35503367294077,19.141771714729753,35.745121740632015,0.706,1.0,4.5,black-forest-labs/FLUX.1-dev,2167
2025-07,4239,6.662165203691199,20.769750168804862,41.25140670717983,0.729,1.0,5.2,black-forest-labs/FLUX.1-dev,1480
2025-08,4502,5.635322822822823,17.31888138138138,37.36861861861862,0.715,1.0,4.7,black-forest-labs/FLUX.1-dev,1201
2025-09,4346,5.603540200469183,19.209852847088932,37.262742589038176,0.689,1.0,4.3,black-forest-labs/FLUX.1-dev,1051
2025-10,3736,4.219895287958115,17.638743455497384,36.460732984293195,0.719,1.0,5.1,black-forest-labs/FLUX.1-dev,806
2025-11,3918,3.062302006335797,13.121769577057746,31.08431056521981,0.692,1.0,4.6,lerobot/smolvla_base,551
2025-12,4786,3.1472425313513774,14.027017866653754,33.46245097564518,0.687,1.0,4.3,lerobot/smolvla_base,650
2026-01,4428,4.50721728324252,17.173310390976006,37.58244909664468,0.704,1.0,4.7,lerobot/smolvla_base,943
2026-02,4629,19.25996204933586,31.86396146547949,48.2301853743979,0.762,1.0,5.9,Qwen/Qwen3-4B-Instruct-2507,5278
