month,vt_size,new_models,et_edges,active_bases
2024-07,136705,20274,19811,2532
2024-08,174484,37779,37582,2554
2024-09,254016,79532,79698,3122
2024-10,278265,24249,24595,3635
2024-11,306140,27875,28120,7217
2024-12,343340,37200,38552,7673
2025-01,399316,55976,57005,6565
2025-02,434003,34687,35842,6123
2025-03,467627,33624,35826,7490
2025-04,499532,31905,33076,5828
2025-05,529182,29650,29673,5201
2025-06,552524,23342,23164,5117
2025-07,574437,21913,22215,4239
2025-08,595863,21426,21312,4502
2025-09,614625,18762,18756,4346
2025-10,634093,19468,19100,3736
2025-11,652368,18275,17993,3918
2025-12,673096,20728,20653,4786
2026-01,693725,20629,20922,4428
2026-02,721364,27639,27404,4629
