deriv_band,size_bin,n_models,median_params,desc_count_mean,desc_count_median,desc_count_p90,active_months_mean,active_months_median,downloads_median
1,Small,10694,494032768.0,1.2564054610061717,1.0,1.0,1.0,1.0,2.0
1,Medium,10149,7241732096.0,2.579268893487043,1.0,1.0,1.0,1.0,2.0
1,Large,4446,13162664960.0,2.2921727395411606,1.0,1.0,1.0,1.0,2.0
2,Small,2998,596049920.0,2.5733822548365577,2.0,3.0,1.2314876584389594,1.0,4.0
2,Medium,4188,7241732096.0,5.870105062082139,2.0,3.0,1.2421203438395416,1.0,4.0
2,Large,4362,14770033664.0,23.278312700596057,2.0,4.0,1.1327372764786796,1.0,3.0
3-4,Small,1526,766816768.0,5.987549148099607,4.0,7.0,1.7306684141546527,2.0,9.0
3-4,Medium,2588,7241732096.0,25.34389489953632,4.0,19.0,1.7094281298299845,2.0,7.0
3-4,Large,3019,14770033664.0,10.713481285193772,4.0,11.0,1.5919178535939054,2.0,5.0
5-8,Small,749,596049920.0,13.348464619492656,7.0,19.0,2.5233644859813085,2.0,68.0
5-8,Medium,1324,7241732096.0,64.36027190332327,8.0,120.40000000000009,2.4244712990936557,2.0,11.0
5-8,Large,1364,14770033664.0,32.16788856304985,8.0,63.700000000000045,2.2983870967741935,2.0,11.0
9+,Small,1170,382131584.5,210.06923076923076,22.0,287.10000000000014,6.341025641025641,5.0,985.5
9+,Medium,1355,7241732096.0,259.41328413284134,36.0,646.2000000000003,5.2044280442804425,4.0,82.0
9+,Large,1342,14770033664.0,194.15871833084947,43.0,503.60000000000036,4.978390461997019,4.0,58.0
