scheme,month,metric,family,statistic,method,value,candidate_n,base_value
primary,2025-06,future_direct_children_3m,quantity,lift,S_C3_Q10,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,AllTime DerivCount,3.874762000162912,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,Current DerivCount,2.6132544098056902,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,Vanilla PageRank,3.874762000162912,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,Downloads,2.018412144571555,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,Likes,3.3001775210513014,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,MTPR_time_safe_typed,3.4824975961540243,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,Simplified_MTPR_time_safe_typed,3.3185936902535964,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No-Propagation ModelRank,3.379367048621171,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,EventValue_time_safe_typed,2.6132544098056902,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No child quality,3.5469541883620574,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No type weight,3.53590448684068,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No parent size,3.4272490885471383,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No quality teleport,3.7587401341884523,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No PageRank propagation,3.3646341132593345,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No temporal inheritance,3.3535844117379576,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,No event injection,3.41988262086622,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_000,3.379367048621171,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_025,3.9594763784934703,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_050,3.977892547695765,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_065,3.977892547695765,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_075,3.9889422492171427,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_090,4.020249736861045,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_095,4.020249736861045,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_D_099,3.99815033381829,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_MEM_01,3.379367048621171,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_MEM_03,3.7587401341884523,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_MEM_06,4.128905135154586,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_MEM_12,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_000,2.8655559278771343,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_005,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_015,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_020,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_030,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_040,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_050,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_060,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_070,3.9944670999778307,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_080,3.9926254830576013,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_090,3.990783866137372,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_Q_100,3.939218592370945,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_WD_000,3.567211974484582,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_WD_025,4.108647349032061,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_WD_075,3.852662597120158,496939,0.01092689444780949
primary,2025-06,future_direct_children_3m,quantity,lift,S_WD_100,3.8066221741144197,496939,0.01092689444780949
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_C3_Q10,3.993811970899603,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,AllTime DerivCount,3.8895248111178926,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,Current DerivCount,2.3445298513888386,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,Vanilla PageRank,3.8895248111178926,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,Downloads,2.495166859962421,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,Likes,3.6848129789537927,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,MTPR_time_safe_typed,3.800687600933472,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,Simplified_MTPR_time_safe_typed,3.615288205765985,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No-Propagation ModelRank,3.6925379537524377,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,EventValue_time_safe_typed,2.3445298513888386,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No child quality,3.881799836319247,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No type weight,3.870212374121279,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No parent size,3.7157128781483735,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No quality teleport,3.7002629285510826,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No PageRank propagation,3.6268756679639527,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No temporal inheritance,3.661638054557857,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,No event injection,3.704125415950406,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_000,3.6925379537524377,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_025,3.9474621221077317,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_050,3.9590495843056996,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_065,3.9706370465036676,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_075,3.9822245087016355,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_090,4.016986895295539,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_095,4.016986895295539,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_D_099,4.020849382694862,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_MEM_01,3.6925379537524377,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_MEM_03,4.105824105479959,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_MEM_06,4.171486391268444,496939,0.005209894977049497
