candidate,baseline,family,metric,statistic,material_threshold,n_months,mean_difference,sd_difference,ci_low,ci_high,p_raw,bootstrap_ci_low,bootstrap_ci_high,bootstrap_direction,holm_p,holm_family_size,decision,robust_material_win,material_loss
S_C3_Q10,AllTime DerivCount,quantity,future_direct_children_3m,lift,0.1,6,0.33129565322430565,0.22100999303329946,0.099359889761998,0.5632314166866133,0.014416218822879788,0.16826073691966478,0.49045488810707516,positive,0.2162432823431968,21,tie,False,False
S_C3_Q10,AllTime DerivCount,quantity,future_active_parent_months_3m,lift,0.1,6,0.3541159851656665,0.2260871495446243,0.11685207271104461,0.5913798976202884,0.012165819480658159,0.18691458092694613,0.5104762388782151,positive,0.200514388635534,21,tie,False,False
S_C3_Q10,AllTime DerivCount,quantity,future_active_parent_binary_3m,auc,0.01,6,0.033424089271755296,0.03871551791332146,-0.007205355043515653,0.07405353358702624,0.0880946197936735,0.007042526417038786,0.06221693893362362,positive,0.7928515781430615,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_child_download_quality_sum_3m,lift,0.1,6,0.25465414210171433,0.2461148671532503,-0.003627570997172036,0.5129358552006007,0.05224405144563679,0.07348009375327587,0.4269001334832003,positive,0.522440514456368,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_child_like_quality_sum_3m,lift,0.1,6,0.2172405259654059,0.09102391810347443,0.12171678222464655,0.3127642697061653,0.0020732542312932633,0.15876771119417085,0.2906785416615887,positive,0.039391830394572,21,win,True,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_high_download_child_count_3m,lift,0.1,6,0.133419178818179,0.3706403461980229,-0.2555440100654123,0.5223823677017703,0.41828138763205763,-0.1413565705440425,0.40295146943723764,mixed,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_high_like_child_count_3m,lift,0.1,6,0.1328607616071978,0.11483329411441383,0.012350610116874175,0.25337091309752147,0.03650143187359776,0.0445513200452922,0.21178238070779956,positive,0.40151575060957534,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_nonzero_like_child_share_3m,lift,0.1,6,0.18079256887108905,0.14918538279366098,0.02423211121589608,0.337353026526282,0.031212819045291704,0.07107015536370342,0.2855670687018598,positive,0.39406581730497875,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_nonzero_download_child_share_3m,lift,0.1,6,0.2927441395471291,0.23951551626003822,0.04138802047575885,0.5441002586184993,0.03031275517730606,0.12447477054865042,0.4603668268355326,positive,0.39406581730497875,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_child_download_quality_mean_3m,lift,0.1,6,0.25852686004201697,0.330229585276016,-0.08802783609470433,0.6050815561787383,0.11327205444316706,0.014574535715705291,0.48464028869856607,positive,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_child_download_quality_median_3m,lift,0.1,6,0.2607299129794114,0.3307650405401564,-0.08638670899506878,0.6078465349538915,0.11136994436845891,0.015976559358771514,0.49329268310187163,positive,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_child_like_quality_mean_3m,lift,0.1,6,0.29499208964525686,0.1108023616362315,0.178712142359552,0.4112720369309617,0.0012676209513032709,0.21423847947209915,0.3740519499229646,positive,0.026620039977368688,21,win,True,False
S_C3_Q10,AllTime DerivCount,descendant_quality,future_child_like_quality_median_3m,lift,0.1,6,0.2977490454259161,0.11739881350753864,0.174546546449603,0.42095154440222926,0.001579067389214658,0.212305522985779,0.3831925678660532,positive,0.03158134778429316,21,win,True,False
S_C3_Q10,AllTime DerivCount,repropagation,future_child_becomes_parent_share_3m,lift,0.1,3,0.21342236288894778,0.14137099223071622,-0.13776265025458528,0.5646073760324808,0.12040642239532515,0.07981523034384885,0.36145159040290853,positive,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,repropagation,future_child_future_child_count_mean_3m,lift,0.1,3,0.15347570187549722,0.10473181966794944,-0.10669256097866678,0.41364396472966125,0.12644480542056483,0.06690216226678558,0.2698892159713502,positive,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,repropagation,future_child_future_child_count_median_3m,lift,0.1,3,0.14305675427449258,0.12108610393883597,-0.1577378028851625,0.4438513114341477,0.17734275923654969,0.04328995617682452,0.2777740148710066,positive,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,repropagation,future_child_second_order_diffusion_share_3m,lift,0.1,3,0.1742082812426015,0.14424643738538012,-0.1841197336476134,0.5325362961328164,0.1715620073250287,0.04653216140517813,0.3306807894827628,positive,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,adoption_breadth,future_child_owner_breadth_3m,lift,0.1,6,0.3068525962996896,0.19436638920046542,0.10287758027482724,0.5108276123245519,0.011794964037384352,0.16806969798348778,0.44657184360696706,positive,0.200514388635534,21,tie,False,False
S_C3_Q10,AllTime DerivCount,adoption_breadth,future_high_download_child_owner_breadth_3m,lift,0.1,6,0.13300456404423366,0.3317430487718113,-0.21513841462465688,0.4811475427131242,0.37116807712664446,-0.10922262635913309,0.37626237044825256,mixed,0.8909595549476713,21,tie,False,False
S_C3_Q10,AllTime DerivCount,adoption_breadth,future_high_like_child_owner_breadth_3m,lift,0.1,6,0.1531651283922054,0.07129245480361053,0.07834828546562284,0.22798197131878795,0.003292077912251332,0.10426080483864815,0.20881563857003674,positive,0.05925740242052397,21,tie,False,False
S_C3_Q10,AllTime DerivCount,adoption_breadth,future_cross_owner_reuse_share_3m,lift,0.1,6,0.4167897051146812,0.327165959795258,0.07345008674476083,0.7601293234846016,0.02623733729489973,0.1772490719732153,0.6539402290047605,positive,0.3673227221285962,21,tie,False,False
