month_pair,MR_top100,DC_top100,SMR_top100
2024-07->2024-08,0.5037593984962406,0.47058823529411764,0.47058823529411764
2024-08->2024-09,0.5037593984962406,0.43884892086330934,0.5503875968992248
2024-09->2024-10,0.47058823529411764,0.43884892086330934,0.5151515151515151
2024-10->2024-11,0.5037593984962406,0.4925373134328358,0.5267175572519084
2024-11->2024-12,0.45985401459854014,0.3793103448275862,0.41843971631205673
2024-12->2025-01,0.32450331125827814,0.2903225806451613,0.2987012987012987
2025-01->2025-02,0.3698630136986301,0.27388535031847133,0.26582278481012656
2025-02->2025-03,0.43884892086330934,0.42857142857142855,0.4084507042253521
2025-03->2025-04,0.48148148148148145,0.5267175572519084,0.5037593984962406
2025-04->2025-05,0.5384615384615384,0.48148148148148145,0.5151515151515151
2025-05->2025-06,0.5748031496062992,0.4925373134328358,0.48148148148148145
2025-06->2025-07,0.5384615384615384,0.47058823529411764,0.5267175572519084
2025-07->2025-08,0.48148148148148145,0.45985401459854014,0.47058823529411764
2025-08->2025-09,0.5625,0.5267175572519084,0.48148148148148145
2025-09->2025-10,0.41843971631205673,0.42857142857142855,0.47058823529411764
2025-10->2025-11,0.4925373134328358,0.41843971631205673,0.41843971631205673
2025-11->2025-12,0.4925373134328358,0.47058823529411764,0.48148148148148145
2025-12->2026-01,0.5037593984962406,0.47058823529411764,0.5267175572519084
2026-01->2026-02,0.5151515151515151,0.45985401459854014,0.5037593984962406
