download_band,deriv_band,n,n_hi,n_lo,median_score,mr_hi_desc_count_mean,mr_lo_desc_count_mean,mr_hi_desc_count_median,mr_lo_desc_count_median,desc_count_u_stat,desc_count_p_value,desc_count_effect_r,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,mr_hi_desc_depth_median,mr_lo_desc_depth_median,desc_depth_u_stat,desc_depth_p_value,desc_depth_effect_r,mr_hi_active_months_mean,mr_lo_active_months_mean,mr_hi_active_months_median,mr_lo_active_months_median,active_months_u_stat,active_months_p_value,active_months_effect_r,mr_hi_type_diversity_mean,mr_lo_type_diversity_mean,mr_hi_type_diversity_median,mr_lo_type_diversity_median,type_diversity_u_stat,type_diversity_p_value,type_diversity_effect_r,favorable_metrics
1-2,1,9142,4571,4571,0.516111928676374,5.172391161671407,5.426383723474076,1.0,1.0,10543449.0,0.06277732821636352,0.009230239377820748,1.4427915117042223,1.4511047910741632,1.0,1.0,10541985.5,0.06568515955525243,0.00909015158915416,1.0,1.0,1.0,1.0,10447020.5,1.0,0.0,1.0,1.0,1.0,1.0,10447020.5,1.0,0.0,0
1-2,2,3232,1616,1616,0.7312296576876363,47.82611386138614,15.60210396039604,2.0,2.0,1335830.5,0.04125998069053173,0.023054188927556174,3.036509900990099,1.9053217821782178,1.0,1.0,1336555.0,0.03766244016753756,0.023609051808646253,1.1516089108910892,1.1800742574257426,1.0,1.0,1268560.0,0.9851906742311525,0.02846534653465349,1.1887376237623761,1.1330445544554455,1.0,1.0,1378448.0,8.242117488934902e-06,0.05569306930693063,3
1-2,3-4,1606,803,803,0.8378975677358124,16.29140722291407,7.927770859277708,4.0,4.0,331787.0,0.14047147458142856,0.029101640951041396,2.1220423412204235,1.7820672478206725,1.0,1.0,330433.0,0.15323097367169303,0.024901947708546146,1.4769613947696139,1.352428393524284,1.0,1.0,355841.0,1.0265274711603489e-05,0.1037097807257652,1.4009962640099627,1.3449564134495642,1.0,1.0,341036.0,0.00817270578427367,0.057789205795824916,4
1-2,5-8,401,201,200,0.9063058719205336,37.86069651741293,22.66,10.0,8.0,23723.0,0.000822754151679434,0.18024875621890546,2.9651741293532337,2.4,2.0,1.0,23557.0,0.0008210807313610035,0.17199004975124388,2.0248756218905473,1.64,2.0,1.0,24850.5,5.429358874653551e-06,0.23634328358208956,1.7761194029850746,1.465,2.0,1.0,25570.5,6.088319629208422e-08,0.27216417910447754,4
1-2,9+,326,163,163,0.5399897538570827,79.06748466257669,23.447852760736197,21.0,9.0,19915.5,5.147378280735925e-16,0.4991531484060372,3.5276073619631902,1.4233128834355828,2.0,1.0,18117.0,8.185010517046963e-11,0.36376980691783656,2.521472392638037,1.4049079754601228,2.0,1.0,19346.5,4.2534212645468374e-15,0.4563212766758251,1.656441717791411,1.2269938650306749,2.0,1.0,18067.5,2.51997864780694e-11,0.3600436599043999,4
3,1,2418,1209,1209,0.8646746655479169,2.3010752688172045,2.0157154673283704,1.0,1.0,782219.5,4.4274453409417917e-10,0.0703012490413435,1.382133995037221,1.1927212572373862,1.0,1.0,782403.5,3.845254991046574e-10,0.07055301396132263,1.0,1.0,1.0,1.0,730840.5,1.0,0.0,1.0,1.0,1.0,1.0,730840.5,1.0,0.0,2
3,2,807,404,403,0.9559125554130344,12.165841584158416,4.158808933002481,2.0,2.0,75714.0,0.9986691668151245,0.06992113603419892,1.4975247524752475,1.4267990074441688,1.0,1.0,75696.5,0.9987148227231295,0.07013610790359437,1.1658415841584158,1.228287841191067,1.0,1.0,76322.5,0.9870868517582319,0.062446257032651165,1.1064356435643565,1.1290322580645162,1.0,1.0,79566.5,0.8402696241967003,0.022596614500159706,2
3,3-4,349,175,174,1.2718693818880211,20.354285714285716,10.60344827586207,4.0,3.0,15624.5,0.3247810246722447,0.02623973727422002,2.2457142857142856,1.8505747126436782,1.0,1.0,15188.5,0.5185281229629441,0.00239737274220031,1.6114285714285714,1.5459770114942528,2.0,1.0,15777.5,0.25559535228509356,0.03628899835796395,1.44,1.4655172413793103,1.0,1.0,15037.5,0.5912551526226079,0.012315270935960632,3
3,5-8,155,78,77,1.467030574806688,64.52564102564102,69.75324675324676,11.5,8.0,3534.0,0.02828625053972158,0.17682317682317672,4.012820512820513,3.038961038961039,2.0,2.0,3536.0,0.024063142237964203,0.17748917748917759,2.3461538461538463,1.8051948051948052,2.0,2.0,4016.5,6.605544761744042e-05,0.33749583749583745,1.8076923076923077,1.5974025974025974,2.0,2.0,3595.0,0.006604956602547371,0.19713619713619712,3
4,1,1957,979,978,1.021076789779177,1.7446373850868233,7.848670756646217,1.0,1.0,477594.0,0.5633489708135669,0.0023750289828734505,1.4269662921348314,1.6411042944785277,1.0,1.0,477551.5,0.565706257497959,0.0024638053520661396,1.0,1.0,1.0,1.0,478731.0,1.0,0.0,1.0,1.0,1.0,1.0,478731.0,1.0,0.0,0
4,2,926,463,463,1.390285742266661,37.084233261339094,18.50107991360691,2.0,2.0,109057.0,0.2441265570911248,0.01746987670791955,2.961123110151188,1.939524838012959,1.0,1.0,109178.0,0.23023852366027936,0.018598771277563486,1.1684665226781858,1.2159827213822894,1.0,1.0,102091.5,0.9666654958560669,0.04751619870410362,1.1857451403887689,1.1922246220302375,1.0,1.0,106490.0,0.5994268140223111,0.006479481641468721,2
4,3-4,451,226,225,1.4967717267568068,22.579646017699115,13.44,4.0,4.0,24026.0,0.8585738157127483,0.055024582104228115,1.9955752212389382,2.0844444444444443,1.0,1.0,23984.0,0.8894079792003313,0.05667649950835796,1.6592920353982301,1.568888888888889,2.0,1.0,27416.5,0.055247839827062585,0.07832841691248782,1.4026548672566372,1.4622222222222223,1.0,1.0,23810.5,0.9129886703898634,0.0635004916420846,2
4,5-8,191,96,95,1.586989766770515,76.0,38.37894736842105,11.5,9.0,5189.0,0.04942145989319152,0.13793859649122808,4.0,3.2421052631578946,2.0,2.0,5081.0,0.08044299151876705,0.11425438596491233,2.3958333333333335,1.8105263157894738,2.0,2.0,5882.5,0.00014406686329919912,0.29002192982456143,1.8958333333333333,1.6210526315789473,2.0,2.0,5681.0,0.00034942911800003856,0.24583333333333335,4
