month,n,rho_Downloads,rho_Likes,rho_DerivCount
2024-07,136705,0.982,0.548,0.217
2024-08,174484,0.945,0.522,0.184
2024-09,254016,0.961,0.485,0.176
2024-10,278265,0.943,0.505,0.185
2024-11,306140,0.945,0.482,0.25
2024-12,343340,0.946,0.473,0.243
2025-01,399316,0.955,0.453,0.204
2025-02,434003,0.961,0.47,0.191
2025-03,467627,0.961,0.484,0.203
2025-04,499532,0.911,0.482,0.174
2025-05,529182,0.948,0.477,0.162
2025-06,552524,0.95,0.464,0.112
2025-07,574437,0.916,0.483,0.138
2025-08,595863,0.96,0.471,0.141
2025-09,614625,0.922,0.474,0.137
2025-10,634093,0.899,0.485,0.124
2025-11,652368,0.97,0.492,0.125
2025-12,673096,0.974,0.492,0.135
2026-01,693725,0.927,0.498,0.128
2026-02,721364,0.921,0.505,0.131
