metric_left,metric_right,spearman_corr_lift_profiles,abs_corr
future_child_download_quality_mean_3m,future_child_download_quality_median_3m,0.9997568354680917,0.9997568354680917
future_child_like_quality_mean_3m,future_child_like_quality_median_3m,0.9973845601435525,0.9973845601435525
future_child_download_quality_mean_3m,future_nonzero_download_child_share_3m,0.9916815580696462,0.9916815580696462
future_active_parent_binary_3m,future_cross_owner_reuse_share_3m,0.9914976037001562,0.9914976037001562
future_child_like_quality_median_3m,future_nonzero_like_child_share_3m,0.9911725120893186,0.9911725120893186
future_child_download_quality_median_3m,future_nonzero_download_child_share_3m,0.9910482028704685,0.9910482028704685
future_active_parent_binary_3m,future_active_parent_months_3m,0.9897981688731048,0.9897981688731048
future_child_like_quality_mean_3m,future_nonzero_like_child_share_3m,0.9897728654395216,0.9897728654395216
future_high_like_child_count_3m,future_high_like_child_owner_breadth_3m,0.9804530327103813,0.9804530327103813
future_active_parent_months_3m,future_cross_owner_reuse_share_3m,0.9800856743315581,0.9800856743315581
future_cross_owner_reuse_share_3m,future_nonzero_download_child_share_3m,0.9727062722484354,0.9727062722484354
future_high_download_child_count_3m,future_high_download_child_owner_breadth_3m,0.9690036025304947,0.9690036025304947
future_child_download_quality_mean_3m,future_cross_owner_reuse_share_3m,0.967791918436075,0.967791918436075
future_child_download_quality_median_3m,future_cross_owner_reuse_share_3m,0.9673282080175745,0.9673282080175745
future_child_owner_breadth_3m,future_direct_children_3m,0.9640221454382999,0.9640221454382999
future_active_parent_binary_3m,future_nonzero_download_child_share_3m,0.9637456599100004,0.9637456599100004
future_child_future_child_count_median_3m,future_child_second_order_diffusion_share_3m,0.9590841661174798,0.9590841661174798
future_child_download_quality_sum_3m,future_direct_children_3m,0.9584100298695497,0.9584100298695497
future_child_like_quality_sum_3m,future_high_like_child_count_3m,0.9582516888312125,0.9582516888312125
future_child_becomes_parent_share_3m,future_child_second_order_diffusion_share_3m,0.9576069951365468,0.9576069951365468
future_active_parent_binary_3m,future_child_download_quality_mean_3m,0.9534136728482987,0.9534136728482987
future_active_parent_binary_3m,future_child_download_quality_median_3m,0.9529160281778716,0.9529160281778716
future_child_becomes_parent_share_3m,future_child_future_child_count_median_3m,0.9461884320633159,0.9461884320633159
future_active_parent_months_3m,future_nonzero_download_child_share_3m,0.9436703350261496,0.9436703350261496
future_child_like_quality_sum_3m,future_high_like_child_owner_breadth_3m,0.9370818796482931,0.9370818796482931
future_active_parent_months_3m,future_child_download_quality_mean_3m,0.9336549174111152,0.9336549174111152
future_active_parent_months_3m,future_child_download_quality_median_3m,0.9330102413607892,0.9330102413607892
future_child_download_quality_sum_3m,future_child_owner_breadth_3m,0.9311640612013873,0.9311640612013873
future_child_future_child_count_mean_3m,future_child_second_order_diffusion_share_3m,0.9175792741715941,0.9175792741715941
future_direct_children_3m,future_high_like_child_owner_breadth_3m,0.8991491852403042,0.8991491852403042
future_child_owner_breadth_3m,future_high_like_child_owner_breadth_3m,0.8950435586656866,0.8950435586656866
future_direct_children_3m,future_high_like_child_count_3m,0.8896912871611878,0.8896912871611878
future_child_like_quality_sum_3m,future_direct_children_3m,0.8888417636686917,0.8888417636686917
future_child_owner_breadth_3m,future_high_like_child_count_3m,0.8776911288179109,0.8776911288179109
future_child_like_quality_sum_3m,future_child_owner_breadth_3m,0.8703384823315753,0.8703384823315753
future_child_becomes_parent_share_3m,future_child_future_child_count_mean_3m,0.8696484264693084,0.8696484264693084
future_child_download_quality_sum_3m,future_high_like_child_owner_breadth_3m,0.8696284065877414,0.8696284065877414
future_child_future_child_count_mean_3m,future_child_future_child_count_median_3m,0.8674065605122758,0.8674065605122758
future_child_download_quality_sum_3m,future_high_download_child_count_3m,0.8621354612653713,0.8621354612653713
