param,value,is_default,tau_1k
alpha,0.0,False,0.814
alpha,0.1,False,0.889
alpha,0.3,True,1.0
alpha,0.5,False,0.926
alpha,0.7,False,0.877
alpha,1.0,False,0.83
kappa,0.0,False,0.838
kappa,0.25,False,0.9
kappa,0.5,True,1.0
kappa,0.75,False,0.891
kappa,1.0,False,0.811
lambda_E,0.0,False,0.769
lambda_E,0.2,False,0.845
lambda_E,0.4,False,0.907
lambda_E,0.8,True,1.0
lambda_E,1.2,False,0.939
lambda_E,1.6,False,0.899
beta,0.0,False,0.841
beta,0.05,False,0.89
beta,0.15,True,1.0
beta,0.3,False,0.842
beta,0.5,False,0.69
damping,0.7,False,0.864
damping,0.8,False,0.938
damping,0.85,True,1.0
damping,0.9,False,0.938
damping,0.95,False,0.879
