month,n_hr,n_ctrl,hr_active_rate,ctrl_active_rate,hr_to_pr_rate,ctrl_to_pr_rate
2024-07,2561,2561,0.1355,0.023,0.4697,0.1554
2024-08,3860,3860,0.1845,0.0264,0.5557,0.101
2024-09,5256,5256,0.2411,0.0533,0.4753,0.0584
2024-10,3962,3962,0.2229,0.0777,0.3115,0.0757
2024-11,6215,6215,0.1308,0.0319,0.3615,0.0903
2024-12,7069,7069,0.0852,0.0314,0.2802,0.1137
2025-01,12375,12375,0.0723,0.0142,0.3716,0.1278
2025-02,9789,9789,0.0786,0.0153,0.3345,0.1083
2025-03,8788,8788,0.0728,0.0132,0.2888,0.0806
2025-04,9068,9068,0.06,0.0101,0.4404,0.0829
2025-05,9132,9132,0.0368,0.0088,0.3104,0.0562
2025-06,8328,8328,0.0377,0.0049,0.2945,0.0791
2025-07,9346,9346,0.0354,0.0081,0.4168,0.1175
2025-08,8557,8557,0.0355,0.0093,0.339,0.0936
2025-09,8581,8581,0.0407,0.0038,0.3547,0.1362
2025-10,8454,8454,0.0441,0.0037,0.5006,0.1386
2025-11,11109,11109,0.0497,0.0045,0.523,0.1411
