model_id,month,rank,score,downloads,derivs,role
Qwen/Qwen2.5-7B-Instruct,2024-09,48,113.02,91306,60,PR
Qwen/Qwen2.5-7B-Instruct,2024-10,24,206.13,484324,73,PR
Qwen/Qwen2.5-7B-Instruct,2024-11,25,222.56,1787091,112,PR
Qwen/Qwen2.5-7B-Instruct,2024-12,16,389.33,1512594,170,PR
Qwen/Qwen2.5-7B-Instruct,2025-01,13,396.33,1208616,139,PR
Qwen/Qwen2.5-7B-Instruct,2025-02,3,964.78,1587369,393,PR
Qwen/Qwen2.5-7B-Instruct,2025-03,4,1049.33,2246381,427,PR
Qwen/Qwen2.5-7B-Instruct,2025-04,4,1663.16,2982535,558,PR
Qwen/Qwen2.5-7B-Instruct,2025-05,2,951.9,2569104,305,PR
Qwen/Qwen2.5-7B-Instruct,2025-06,5,355.07,2569104,160,PR
Qwen/Qwen2.5-7B-Instruct,2025-07,5,454.9,9192016,202,PR
Qwen/Qwen2.5-7B-Instruct,2025-08,10,436.28,12376914,175,PR
Qwen/Qwen2.5-7B-Instruct,2025-09,6,505.71,5747123,207,PR
Qwen/Qwen2.5-7B-Instruct,2025-10,12,492.91,8638070,111,PR
Qwen/Qwen2.5-7B-Instruct,2025-11,11,295.88,7530449,135,PR
Qwen/Qwen2.5-7B-Instruct,2025-12,11,326.59,5918917,165,PR
Qwen/Qwen2.5-7B-Instruct,2026-01,8,658.95,10901281,221,PR
Qwen/Qwen2.5-7B-Instruct,2026-02,3,1557.26,21497102,823,PR
lerobot/smolvla_base,2025-06,83,66.07,11,60,HR
lerobot/smolvla_base,2025-07,14,316.31,18990,188,PR
lerobot/smolvla_base,2025-08,6,554.05,21887,258,PR
lerobot/smolvla_base,2025-09,2,860.38,38091,426,PR
lerobot/smolvla_base,2025-10,3,1075.26,18740,350,PR
lerobot/smolvla_base,2025-11,1,1205.05,18860,551,PR
lerobot/smolvla_base,2025-12,1,1336.15,15383,650,PR
lerobot/smolvla_base,2026-01,1,2569.63,22238,943,PR
lerobot/smolvla_base,2026-02,2,2014.06,55094,637,PR
meta-llama/Llama-3.1-8B-Instruct,2024-07,12,283.99,0,122,HR
meta-llama/Llama-3.1-8B-Instruct,2024-08,9,363.67,0,329,HR
meta-llama/Llama-3.1-8B-Instruct,2024-09,9,508.63,3220195,341,PR
meta-llama/Llama-3.1-8B-Instruct,2024-10,7,459.1,5142189,208,PR
meta-llama/Llama-3.1-8B-Instruct,2024-11,10,426.71,5470200,208,PR
meta-llama/Llama-3.1-8B-Instruct,2024-12,13,413.74,4788999,182,PR
meta-llama/Llama-3.1-8B-Instruct,2025-01,3,548.96,5801205,355,PR
meta-llama/Llama-3.1-8B-Instruct,2025-02,5,639.24,6116006,289,PR
meta-llama/Llama-3.1-8B-Instruct,2025-03,13,510.7,5991958,208,PR
meta-llama/Llama-3.1-8B-Instruct,2025-04,9,558.84,5224921,263,PR
meta-llama/Llama-3.1-8B-Instruct,2025-05,10,446.06,5562547,223,PR
meta-llama/Llama-3.1-8B-Instruct,2025-06,14,245.21,5562547,164,PR
meta-llama/Llama-3.1-8B-Instruct,2025-07,17,280.84,13229970,155,PR
meta-llama/Llama-3.1-8B-Instruct,2025-08,11,414.58,9023022,208,PR
meta-llama/Llama-3.1-8B-Instruct,2025-09,10,429.53,7090908,209,PR
meta-llama/Llama-3.1-8B-Instruct,2025-10,13,465.02,5106497,155,PR
meta-llama/Llama-3.1-8B-Instruct,2025-11,7,417.17,4991933,203,PR
meta-llama/Llama-3.1-8B-Instruct,2025-12,7,377.09,10557071,246,PR
meta-llama/Llama-3.1-8B-Instruct,2026-01,5,716.45,7222811,221,PR
meta-llama/Llama-3.1-8B-Instruct,2026-02,7,801.45,7354915,345,PR
black-forest-labs/FLUX.1-dev,2024-07,6708,2.98,0,1,HR
black-forest-labs/FLUX.1-dev,2024-08,6,2128.39,845812,1609,PR
black-forest-labs/FLUX.1-dev,2024-09,5,3674.3,1141985,2771,PR
black-forest-labs/FLUX.1-dev,2024-10,1,5345.94,1306645,2514,PR
black-forest-labs/FLUX.1-dev,2024-11,1,5256.46,1369492,2741,PR
black-forest-labs/FLUX.1-dev,2024-12,1,5374.94,1166389,2868,PR
black-forest-labs/FLUX.1-dev,2025-01,1,6284.26,1580205,3937,PR
black-forest-labs/FLUX.1-dev,2025-02,1,6463.5,2656183,4054,PR
black-forest-labs/FLUX.1-dev,2025-03,1,8004.68,2180791,4415,PR
black-forest-labs/FLUX.1-dev,2025-04,1,5704.62,2601496,2512,PR
black-forest-labs/FLUX.1-dev,2025-05,1,4792.0,1918699,2361,PR
black-forest-labs/FLUX.1-dev,2025-06,1,2783.37,1918699,2167,PR
black-forest-labs/FLUX.1-dev,2025-07,1,2720.51,1520921,1480,PR
black-forest-labs/FLUX.1-dev,2025-08,1,2432.15,1399695,1201,PR
black-forest-labs/FLUX.1-dev,2025-09,1,2062.19,1793177,1051,PR
black-forest-labs/FLUX.1-dev,2025-10,2,2104.24,1558616,806,PR
black-forest-labs/FLUX.1-dev,2025-11,2,716.91,1287010,262,PR
black-forest-labs/FLUX.1-dev,2025-12,10,335.38,656345,147,PR
black-forest-labs/FLUX.1-dev,2026-01,25,360.78,827491,129,PR
black-forest-labs/FLUX.1-dev,2026-02,24,377.63,729086,147,PR
