model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
BAAI/bge-large-zh-noinstruct,86.0,11.0,1.820515499251687,Long Tail,2024-07,219.0,1.8558965922405413
BAAI/bge-large-zh-noinstruct,269.0,11.0,0.30130340541217027,Popular Root,2024-08,116.0,0.2308944160471986
BAAI/bge-large-zh-noinstruct,74.0,11.0,3.972101896763363,Hidden Root,2024-09,100.0,0.2475988486003169
BAAI/bge-large-zh-noinstruct,364.0,11.0,0.41904929589298895,Popular Root,2024-10,75.0,0.238593793034825
BAAI/bge-large-zh-noinstruct,115.0,11.0,0.3277687022474995,Popular Root,2024-11,82.0,0.2028459520811253
BAAI/bge-large-zh-noinstruct,29.0,11.0,0.26541385562355874,Hidden Root,2024-12,51.0,0.1918775380863641
BAAI/bge-large-zh-noinstruct,100.0,11.0,0.254736324307235,Hidden Root,2025-01,119.0,0.1811518922358358
BAAI/bge-large-zh-noinstruct,116.0,11.0,0.2879605229961083,Popular Root,2025-02,111.0,0.1825346650438559
BAAI/bge-large-zh-noinstruct,165.0,11.0,0.29587643886124965,Popular Root,2025-03,61.0,0.1913654759481211
BAAI/bge-large-zh-noinstruct,77.0,11.0,0.39467694680084375,Popular Root,2025-04,48.0,0.2265555325290591
BAAI/bge-large-zh-noinstruct,223.0,11.0,0.3730877186463705,Popular Root,2025-05,29.0,0.1877114771442029
BAAI/bge-large-zh-noinstruct,150.0,11.0,0.2647673726617343,Popular Root,2025-06,73.0,0.1671328586157394
BAAI/bge-large-zh-noinstruct,138.0,11.0,0.30898151470345886,Popular Root,2025-07,46.0,0.1616196593713486
BAAI/bge-large-zh-noinstruct,56.0,11.0,0.28387199531918594,Popular Root,2025-08,37.0,0.1789208319783163
BAAI/bge-large-zh-noinstruct,153.0,11.0,0.2846759168950421,Popular Root,2025-09,56.0,0.1745556870024762
BAAI/bge-large-zh-noinstruct,105.0,11.0,0.46323189018303434,Popular Root,2025-10,56.0,0.2497182525588382
BAAI/bge-large-zh-noinstruct,79.0,11.0,0.2639721882756023,Hidden Root,2025-11,89.0,0.1764457011105828
BAAI/bge-large-zh-noinstruct,60.0,11.0,0.2294812511199075,Popular Root,2025-12,55.0,0.1615341957713476
BAAI/bge-large-zh-noinstruct,38.0,11.0,0.2835948330769499,Popular Root,2026-01,30.0,0.1954875292731835
BAAI/bge-large-zh-noinstruct,27.0,11.0,0.3656781560912248,Hidden Root,2026-02,45.0,0.2434687593373653
HuggingFaceTB/SmolVLM-Instruct-DPO,288.0,13.0,0.28902891253277174,Popular Root,2024-11,82.0,0.2028459520811253
HuggingFaceTB/SmolVLM-Instruct-DPO,424.0,15.0,0.3106302556082942,Popular Root,2024-12,51.0,0.1918775380863641
HuggingFaceTB/SmolVLM-Instruct-DPO,202.0,18.0,0.27356831691331657,Popular Root,2025-01,119.0,0.1811518922358358
HuggingFaceTB/SmolVLM-Instruct-DPO,105.0,19.0,0.23395265940517349,Hidden Root,2025-02,111.0,0.1825346650438559
HuggingFaceTB/SmolVLM-Instruct-DPO,180.0,19.0,0.2842058863700743,Popular Root,2025-03,61.0,0.1913654759481211
HuggingFaceTB/SmolVLM-Instruct-DPO,174.0,19.0,0.3545222114333462,Popular Root,2025-04,48.0,0.2265555325290591
HuggingFaceTB/SmolVLM-Instruct-DPO,73.0,20.0,0.2807879349227308,Popular Root,2025-05,29.0,0.1877114771442029
HuggingFaceTB/SmolVLM-Instruct-DPO,33.0,21.0,0.19413153021640026,Hidden Root,2025-06,73.0,0.1671328586157394
HuggingFaceTB/SmolVLM-Instruct-DPO,241.0,21.0,0.2697557951156968,Popular Root,2025-07,46.0,0.1616196593713486
HuggingFaceTB/SmolVLM-Instruct-DPO,113.0,22.0,0.28299882482629596,Popular Root,2025-08,37.0,0.1789208319783163
HuggingFaceTB/SmolVLM-Instruct-DPO,17.0,22.0,0.19296308103603171,Hidden Root,2025-09,56.0,0.1745556870024762
HuggingFaceTB/SmolVLM-Instruct-DPO,32.0,22.0,0.32321302442317723,Hidden Root,2025-10,56.0,0.2497182525588382
HuggingFaceTB/SmolVLM-Instruct-DPO,85.0,22.0,0.23203621268596353,Hidden Root,2025-11,89.0,0.1764457011105828
HuggingFaceTB/SmolVLM-Instruct-DPO,71.0,22.0,0.2135853789473478,Popular Root,2025-12,55.0,0.1615341957713476
HuggingFaceTB/SmolVLM-Instruct-DPO,32.0,22.0,0.279148260719854,Popular Root,2026-01,30.0,0.1954875292731835
HuggingFaceTB/SmolVLM-Instruct-DPO,95.0,22.0,0.3712325807569389,Popular Root,2026-02,45.0,0.2434687593373653
NousResearch/Hermes-2-Pro-Llama-3-70B,1386.0,28.0,6.328884068083001,Popular Root,2024-07,219.0,1.8558965922405413
NousResearch/Hermes-2-Pro-Llama-3-70B,240.0,30.0,0.7081272249088019,Popular Root,2024-08,116.0,0.2308944160471986
NousResearch/Hermes-2-Pro-Llama-3-70B,1732.0,31.0,3.219967140005855,Popular Root,2024-09,100.0,0.2475988486003169
NousResearch/Hermes-2-Pro-Llama-3-70B,244.0,31.0,0.9826080110825304,Popular Root,2024-10,75.0,0.238593793034825
NousResearch/Hermes-2-Pro-Llama-3-70B,242.0,31.0,0.7253877553703458,Popular Root,2024-11,82.0,0.2028459520811253
