method,mapping,domain,domain_n,gini,top_10_models_share,top_10_percent_share,ever_parent_count,ever_parent_share
S_C3_Q10,submitted,Audio,17613,0.9723936535500536,0.4459266491183511,0.9602230323469864,1524,0.08652699710441152
S_C3_Q10,submitted,CV,84593,0.9639494125619044,0.7194725842521578,0.9535488685660628,2605,0.030794510184057784
S_C3_Q10,submitted,Multimodal,10194,0.980852816901946,0.5025417098450823,0.9820099694678645,2142,0.21012360211889347
S_C3_Q10,submitted,NLP,230385,0.9751656146164,0.3177200611556688,0.9653228752054382,45842,0.19897996831390932
S_C3_Q10,submitted,RL/Robotics,4750,0.9916475767295424,0.9302583997237776,0.9847480414371136,143,0.030105263157894736
S_C3_Q10,crossmodal_reassigned,Audio,17613,0.9723936535500536,0.4459266491183511,0.9602230323469864,1524,0.08652699710441152
S_C3_Q10,crossmodal_reassigned,CV,18351,0.9880716286667932,0.8725968766893538,0.984656508100508,1200,0.06539153179663233
S_C3_Q10,crossmodal_reassigned,Multimodal,76436,0.9682463454396112,0.4006519308714746,0.960220624220136,3547,0.04640483541786593
S_C3_Q10,crossmodal_reassigned,NLP,230385,0.9751656146164,0.3177200611556688,0.9653228752054382,45842,0.19897996831390932
S_C3_Q10,crossmodal_reassigned,RL/Robotics,4750,0.9916475767295424,0.9302583997237776,0.9847480414371136,143,0.030105263157894736
Full ModelRank,submitted,Audio,17613,0.7245012868580407,0.0707889127535471,0.5729107884171225,1524,0.08652699710441152
Full ModelRank,submitted,CV,84593,0.509575999520546,0.022080029553685,0.3958228864502968,2605,0.030794510184057784
Full ModelRank,submitted,Multimodal,10194,0.6991903916205284,0.1234540422593022,0.5437573273417702,2142,0.21012360211889347
Full ModelRank,submitted,NLP,230385,0.6758342244061395,0.0577165446160811,0.5250375640060594,45842,0.19897996831390932
Full ModelRank,submitted,RL/Robotics,4750,0.8025445291172166,0.3808854322163932,0.6733143668822665,143,0.030105263157894736
Full ModelRank,crossmodal_reassigned,Audio,17613,0.7245012868580407,0.0707889127535471,0.5729107884171225,1524,0.08652699710441152
Full ModelRank,crossmodal_reassigned,CV,18351,0.601777491513662,0.0329865271883783,0.4853203896920502,1200,0.06539153179663233
Full ModelRank,crossmodal_reassigned,Multimodal,76436,0.5600571936520118,0.0398212433416579,0.4518924515200771,3547,0.04640483541786593
Full ModelRank,crossmodal_reassigned,NLP,230385,0.6758342244061395,0.0577165446160811,0.5250375640060594,45842,0.19897996831390932
Full ModelRank,crossmodal_reassigned,RL/Robotics,4750,0.8025445291172166,0.3808854322163932,0.6733143668822665,143,0.030105263157894736
Simplified-MR (legacy),submitted,Audio,17613,0.7316858500990939,0.0467115008348241,0.5557297724327546,1524,0.08652699710441152
Simplified-MR (legacy),submitted,CV,84593,0.5441762577377804,0.0129387996626595,0.4051284107437802,2605,0.030794510184057784
Simplified-MR (legacy),submitted,Multimodal,10194,0.6469394683556557,0.0640461470824602,0.4483165768142017,2142,0.21012360211889347
Simplified-MR (legacy),submitted,NLP,230385,0.6621372615694259,0.0386111564811052,0.4831736746223003,45842,0.19897996831390932
Simplified-MR (legacy),submitted,RL/Robotics,4750,0.808180958842176,0.2528853458597683,0.6209520721336359,143,0.030105263157894736
Simplified-MR (legacy),crossmodal_reassigned,Audio,17613,0.7316858500990939,0.0467115008348241,0.5557297724327546,1524,0.08652699710441152
Simplified-MR (legacy),crossmodal_reassigned,CV,18351,0.616495059459508,0.0190909139041575,0.4738168753668403,1200,0.06539153179663233
Simplified-MR (legacy),crossmodal_reassigned,Multimodal,76436,0.5707824533263406,0.0202500410657129,0.4355588871608801,3547,0.04640483541786593
Simplified-MR (legacy),crossmodal_reassigned,NLP,230385,0.6621372615694259,0.0386111564811052,0.4831736746223003,45842,0.19897996831390932
Simplified-MR (legacy),crossmodal_reassigned,RL/Robotics,4750,0.808180958842176,0.2528853458597683,0.6209520721336359,143,0.030105263157894736
Current DerivCount,submitted,Audio,17613,0.9963084009408854,0.5324384787472036,1.0,1524,0.08652699710441152
Current DerivCount,submitted,CV,84593,0.9992305241839596,0.5217673814165043,1.0,2605,0.030794510184057784
Current DerivCount,submitted,Multimodal,10194,0.9884985448956902,0.4391666666666666,1.0,2142,0.21012360211889347
Current DerivCount,submitted,NLP,230385,0.9978175242423796,0.4299687825182102,1.0,45842,0.19897996831390932
Current DerivCount,submitted,RL/Robotics,4750,0.9995410650520108,0.9705014749262536,1.0,143,0.030105263157894736
Current DerivCount,crossmodal_reassigned,Audio,17613,0.9963084009408854,0.5324384787472036,1.0,1524,0.08652699710441152
Current DerivCount,crossmodal_reassigned,CV,18351,0.9972993570401528,0.4551148225469729,1.0,1200,0.06539153179663233
Current DerivCount,crossmodal_reassigned,Multimodal,76436,0.9981858032576728,0.3841040462427745,1.0,3547,0.04640483541786593
Current DerivCount,crossmodal_reassigned,NLP,230385,0.9978175242423796,0.4299687825182102,1.0,45842,0.19897996831390932
Current DerivCount,crossmodal_reassigned,RL/Robotics,4750,0.9995410650520108,0.9705014749262536,1.0,143,0.030105263157894736
AllTime DerivCount,submitted,Audio,17613,0.990193339152552,0.6573732326386917,1.0,1524,0.08652699710441152
AllTime DerivCount,submitted,CV,84593,0.998338080772855,0.7201175540847575,1.0,2605,0.030794510184057784
AllTime DerivCount,submitted,Multimodal,10194,0.9628367597913317,0.3630709937371348,0.937239959707441,2142,0.21012360211889347
AllTime DerivCount,submitted,NLP,230385,0.972932600018458,0.2587606752504879,0.9546286444731455,45842,0.19897996831390932
AllTime DerivCount,submitted,RL/Robotics,4750,0.998443795551124,0.9460983310780334,1.0,143,0.030105263157894736
AllTime DerivCount,crossmodal_reassigned,Audio,17613,0.990193339152552,0.6573732326386917,1.0,1524,0.08652699710441152
AllTime DerivCount,crossmodal_reassigned,CV,18351,0.9930590833097424,0.5530315322624263,1.0,1200,0.06539153179663233
AllTime DerivCount,crossmodal_reassigned,Multimodal,76436,0.9965080949812164,0.658318488655541,1.0,3547,0.04640483541786593
AllTime DerivCount,crossmodal_reassigned,NLP,230385,0.972932600018458,0.2587606752504879,0.9546286444731455,45842,0.19897996831390932
AllTime DerivCount,crossmodal_reassigned,RL/Robotics,4750,0.998443795551124,0.9460983310780334,1.0,143,0.030105263157894736
EventValue,submitted,Audio,17613,0.9969930204614756,0.5676394988882691,0.9999999999999998,1524,0.08652699710441152
EventValue,submitted,CV,84593,0.9992863824250546,0.5133547002644061,1.0,2605,0.030794510184057784
EventValue,submitted,Multimodal,10194,0.9908401231937132,0.4711348372894211,1.0,2142,0.21012360211889347
EventValue,submitted,NLP,230385,0.9983495281099806,0.4440937726269431,0.9999999999999996,45842,0.19897996831390932
EventValue,submitted,RL/Robotics,4750,0.9996498593429646,0.9841308939415108,1.0,143,0.030105263157894736
EventValue,crossmodal_reassigned,Audio,17613,0.9969930204614756,0.5676394988882691,0.9999999999999998,1524,0.08652699710441152
EventValue,crossmodal_reassigned,CV,18351,0.997685803746764,0.4910120172413609,0.9999999999999998,1200,0.06539153179663233
EventValue,crossmodal_reassigned,Multimodal,76436,0.9984777495981773,0.3931297379611013,1.0,3547,0.04640483541786593
EventValue,crossmodal_reassigned,NLP,230385,0.9983495281099806,0.4440937726269431,0.9999999999999996,45842,0.19897996831390932
EventValue,crossmodal_reassigned,RL/Robotics,4750,0.9996498593429646,0.9841308939415108,1.0,143,0.030105263157894736
Vanilla PageRank,submitted,Audio,17613,0.5159814614274345,0.318339669199854,0.5690882632407954,1524,0.08652699710441152
Vanilla PageRank,submitted,CV,84593,0.4764049055549275,0.3202023168018914,0.5295318594727175,2605,0.030794510184057784
Vanilla PageRank,submitted,Multimodal,10194,0.7792717058904757,0.399091685362378,0.7912160186449072,2142,0.21012360211889347
Vanilla PageRank,submitted,NLP,230385,0.7045675922895778,0.1619184321031548,0.7229293667578969,45842,0.19897996831390932
Vanilla PageRank,submitted,RL/Robotics,4750,0.4467102258965345,0.4227026873448092,0.5026854184545807,143,0.030105263157894736
Vanilla PageRank,crossmodal_reassigned,Audio,17613,0.5159814614274345,0.318339669199854,0.5690882632407954,1524,0.08652699710441152
Vanilla PageRank,crossmodal_reassigned,CV,18351,0.4792514794778006,0.2478656363703996,0.5347890934621978,1200,0.06539153179663233
Vanilla PageRank,crossmodal_reassigned,Multimodal,76436,0.5651629118922623,0.3402098226277043,0.610193766120174,3547,0.04640483541786593
