method,mapping,domain,minimum_domain_size,domain_n,included
S_C3_Q10,submitted,Audio,0,17613,True
S_C3_Q10,submitted,Audio,5000,17613,True
S_C3_Q10,submitted,Audio,10000,17613,True
S_C3_Q10,submitted,Audio,25000,17613,False
S_C3_Q10,submitted,CV,0,84593,True
S_C3_Q10,submitted,CV,5000,84593,True
S_C3_Q10,submitted,CV,10000,84593,True
S_C3_Q10,submitted,CV,25000,84593,True
S_C3_Q10,submitted,Multimodal,0,10194,True
S_C3_Q10,submitted,Multimodal,5000,10194,True
S_C3_Q10,submitted,Multimodal,10000,10194,True
S_C3_Q10,submitted,Multimodal,25000,10194,False
S_C3_Q10,submitted,NLP,0,230385,True
S_C3_Q10,submitted,NLP,5000,230385,True
S_C3_Q10,submitted,NLP,10000,230385,True
S_C3_Q10,submitted,NLP,25000,230385,True
S_C3_Q10,submitted,RL/Robotics,0,4750,True
S_C3_Q10,submitted,RL/Robotics,5000,4750,False
S_C3_Q10,submitted,RL/Robotics,10000,4750,False
S_C3_Q10,submitted,RL/Robotics,25000,4750,False
S_C3_Q10,crossmodal_reassigned,Audio,0,17613,True
S_C3_Q10,crossmodal_reassigned,Audio,5000,17613,True
S_C3_Q10,crossmodal_reassigned,Audio,10000,17613,True
S_C3_Q10,crossmodal_reassigned,Audio,25000,17613,False
S_C3_Q10,crossmodal_reassigned,CV,0,18351,True
S_C3_Q10,crossmodal_reassigned,CV,5000,18351,True
S_C3_Q10,crossmodal_reassigned,CV,10000,18351,True
S_C3_Q10,crossmodal_reassigned,CV,25000,18351,False
S_C3_Q10,crossmodal_reassigned,Multimodal,0,76436,True
S_C3_Q10,crossmodal_reassigned,Multimodal,5000,76436,True
S_C3_Q10,crossmodal_reassigned,Multimodal,10000,76436,True
S_C3_Q10,crossmodal_reassigned,Multimodal,25000,76436,True
S_C3_Q10,crossmodal_reassigned,NLP,0,230385,True
S_C3_Q10,crossmodal_reassigned,NLP,5000,230385,True
S_C3_Q10,crossmodal_reassigned,NLP,10000,230385,True
S_C3_Q10,crossmodal_reassigned,NLP,25000,230385,True
S_C3_Q10,crossmodal_reassigned,RL/Robotics,0,4750,True
S_C3_Q10,crossmodal_reassigned,RL/Robotics,5000,4750,False
S_C3_Q10,crossmodal_reassigned,RL/Robotics,10000,4750,False
S_C3_Q10,crossmodal_reassigned,RL/Robotics,25000,4750,False
Full ModelRank,submitted,Audio,0,17613,True
Full ModelRank,submitted,Audio,5000,17613,True
Full ModelRank,submitted,Audio,10000,17613,True
Full ModelRank,submitted,Audio,25000,17613,False
Full ModelRank,submitted,CV,0,84593,True
Full ModelRank,submitted,CV,5000,84593,True
Full ModelRank,submitted,CV,10000,84593,True
Full ModelRank,submitted,CV,25000,84593,True
Full ModelRank,submitted,Multimodal,0,10194,True
Full ModelRank,submitted,Multimodal,5000,10194,True
Full ModelRank,submitted,Multimodal,10000,10194,True
Full ModelRank,submitted,Multimodal,25000,10194,False
Full ModelRank,submitted,NLP,0,230385,True
Full ModelRank,submitted,NLP,5000,230385,True
Full ModelRank,submitted,NLP,10000,230385,True
Full ModelRank,submitted,NLP,25000,230385,True
Full ModelRank,submitted,RL/Robotics,0,4750,True
Full ModelRank,submitted,RL/Robotics,5000,4750,False
Full ModelRank,submitted,RL/Robotics,10000,4750,False
Full ModelRank,submitted,RL/Robotics,25000,4750,False
Full ModelRank,crossmodal_reassigned,Audio,0,17613,True
Full ModelRank,crossmodal_reassigned,Audio,5000,17613,True
Full ModelRank,crossmodal_reassigned,Audio,10000,17613,True
Full ModelRank,crossmodal_reassigned,Audio,25000,17613,False
Full ModelRank,crossmodal_reassigned,CV,0,18351,True
Full ModelRank,crossmodal_reassigned,CV,5000,18351,True
Full ModelRank,crossmodal_reassigned,CV,10000,18351,True
Full ModelRank,crossmodal_reassigned,CV,25000,18351,False
Full ModelRank,crossmodal_reassigned,Multimodal,0,76436,True
Full ModelRank,crossmodal_reassigned,Multimodal,5000,76436,True
Full ModelRank,crossmodal_reassigned,Multimodal,10000,76436,True
Full ModelRank,crossmodal_reassigned,Multimodal,25000,76436,True
Full ModelRank,crossmodal_reassigned,NLP,0,230385,True
Full ModelRank,crossmodal_reassigned,NLP,5000,230385,True
Full ModelRank,crossmodal_reassigned,NLP,10000,230385,True
Full ModelRank,crossmodal_reassigned,NLP,25000,230385,True
Full ModelRank,crossmodal_reassigned,RL/Robotics,0,4750,True
Full ModelRank,crossmodal_reassigned,RL/Robotics,5000,4750,False
Full ModelRank,crossmodal_reassigned,RL/Robotics,10000,4750,False
Full ModelRank,crossmodal_reassigned,RL/Robotics,25000,4750,False
Simplified-MR (legacy),submitted,Audio,0,17613,True
Simplified-MR (legacy),submitted,Audio,5000,17613,True
Simplified-MR (legacy),submitted,Audio,10000,17613,True
Simplified-MR (legacy),submitted,Audio,25000,17613,False
Simplified-MR (legacy),submitted,CV,0,84593,True
Simplified-MR (legacy),submitted,CV,5000,84593,True
Simplified-MR (legacy),submitted,CV,10000,84593,True
Simplified-MR (legacy),submitted,CV,25000,84593,True
Simplified-MR (legacy),submitted,Multimodal,0,10194,True
Simplified-MR (legacy),submitted,Multimodal,5000,10194,True
Simplified-MR (legacy),submitted,Multimodal,10000,10194,True
Simplified-MR (legacy),submitted,Multimodal,25000,10194,False
Simplified-MR (legacy),submitted,NLP,0,230385,True
Simplified-MR (legacy),submitted,NLP,5000,230385,True
Simplified-MR (legacy),submitted,NLP,10000,230385,True
Simplified-MR (legacy),submitted,NLP,25000,230385,True
Simplified-MR (legacy),submitted,RL/Robotics,0,4750,True
Simplified-MR (legacy),submitted,RL/Robotics,5000,4750,False
Simplified-MR (legacy),submitted,RL/Robotics,10000,4750,False
Simplified-MR (legacy),submitted,RL/Robotics,25000,4750,False
Simplified-MR (legacy),crossmodal_reassigned,Audio,0,17613,True
Simplified-MR (legacy),crossmodal_reassigned,Audio,5000,17613,True
Simplified-MR (legacy),crossmodal_reassigned,Audio,10000,17613,True
Simplified-MR (legacy),crossmodal_reassigned,Audio,25000,17613,False
Simplified-MR (legacy),crossmodal_reassigned,CV,0,18351,True
Simplified-MR (legacy),crossmodal_reassigned,CV,5000,18351,True
Simplified-MR (legacy),crossmodal_reassigned,CV,10000,18351,True
Simplified-MR (legacy),crossmodal_reassigned,CV,25000,18351,False
Simplified-MR (legacy),crossmodal_reassigned,Multimodal,0,76436,True
Simplified-MR (legacy),crossmodal_reassigned,Multimodal,5000,76436,True
Simplified-MR (legacy),crossmodal_reassigned,Multimodal,10000,76436,True
Simplified-MR (legacy),crossmodal_reassigned,Multimodal,25000,76436,True
Simplified-MR (legacy),crossmodal_reassigned,NLP,0,230385,True
Simplified-MR (legacy),crossmodal_reassigned,NLP,5000,230385,True
Simplified-MR (legacy),crossmodal_reassigned,NLP,10000,230385,True
Simplified-MR (legacy),crossmodal_reassigned,NLP,25000,230385,True
Simplified-MR (legacy),crossmodal_reassigned,RL/Robotics,0,4750,True
Simplified-MR (legacy),crossmodal_reassigned,RL/Robotics,5000,4750,False
Simplified-MR (legacy),crossmodal_reassigned,RL/Robotics,10000,4750,False
Simplified-MR (legacy),crossmodal_reassigned,RL/Robotics,25000,4750,False
Current DerivCount,submitted,Audio,0,17613,True
Current DerivCount,submitted,Audio,5000,17613,True
Current DerivCount,submitted,Audio,10000,17613,True
Current DerivCount,submitted,Audio,25000,17613,False
Current DerivCount,submitted,CV,0,84593,True
Current DerivCount,submitted,CV,5000,84593,True
Current DerivCount,submitted,CV,10000,84593,True
Current DerivCount,submitted,CV,25000,84593,True
Current DerivCount,submitted,Multimodal,0,10194,True
Current DerivCount,submitted,Multimodal,5000,10194,True
Current DerivCount,submitted,Multimodal,10000,10194,True
Current DerivCount,submitted,Multimodal,25000,10194,False
Current DerivCount,submitted,NLP,0,230385,True
Current DerivCount,submitted,NLP,5000,230385,True
Current DerivCount,submitted,NLP,10000,230385,True
Current DerivCount,submitted,NLP,25000,230385,True
Current DerivCount,submitted,RL/Robotics,0,4750,True
Current DerivCount,submitted,RL/Robotics,5000,4750,False
Current DerivCount,submitted,RL/Robotics,10000,4750,False
Current DerivCount,submitted,RL/Robotics,25000,4750,False
Current DerivCount,crossmodal_reassigned,Audio,0,17613,True
Current DerivCount,crossmodal_reassigned,Audio,5000,17613,True
Current DerivCount,crossmodal_reassigned,Audio,10000,17613,True
Current DerivCount,crossmodal_reassigned,Audio,25000,17613,False
Current DerivCount,crossmodal_reassigned,CV,0,18351,True
Current DerivCount,crossmodal_reassigned,CV,5000,18351,True
Current DerivCount,crossmodal_reassigned,CV,10000,18351,True
Current DerivCount,crossmodal_reassigned,CV,25000,18351,False
Current DerivCount,crossmodal_reassigned,Multimodal,0,76436,True
Current DerivCount,crossmodal_reassigned,Multimodal,5000,76436,True
Current DerivCount,crossmodal_reassigned,Multimodal,10000,76436,True
Current DerivCount,crossmodal_reassigned,Multimodal,25000,76436,True
Current DerivCount,crossmodal_reassigned,NLP,0,230385,True
Current DerivCount,crossmodal_reassigned,NLP,5000,230385,True
Current DerivCount,crossmodal_reassigned,NLP,10000,230385,True
Current DerivCount,crossmodal_reassigned,NLP,25000,230385,True
Current DerivCount,crossmodal_reassigned,RL/Robotics,0,4750,True
Current DerivCount,crossmodal_reassigned,RL/Robotics,5000,4750,False
Current DerivCount,crossmodal_reassigned,RL/Robotics,10000,4750,False
Current DerivCount,crossmodal_reassigned,RL/Robotics,25000,4750,False
