regime,n,positive_count,negative_count,metric,left_method,right_method,left_estimate,right_estimate,difference,ci_low,ci_high,raw_p_value,valid_bootstrap_replicates,status,holm_p_value
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,Submitted Full ModelRank,0.9785040598517888,0.9896553558132114,-0.011151295961422614,-0.01676241980199364,-0.0056924765696337466,0.00039996000399960006,10000,estimable,0.007199280071992801
confirmed-only,4057,28,4029,AP,S_C3_Q10,Submitted Full ModelRank,0.27380509207953035,0.47883237445478893,-0.20502728237525858,-0.33131685550335166,-0.10804959967405404,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Submitted Full ModelRank,35.3397212543554,67.14547038327527,-31.805749128919864,-47.97634885439764,-13.019897304236203,0.00039996000399960006,10000,estimable,0.009999000099990002
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,Submitted Full ModelRank,16.41643209007741,17.843947923997185,-1.4275158339197738,-4.163587848932677,1.289369140314637,0.44615538446155384,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Submitted Full ModelRank,9.992610837438423,9.992610837438423,0.0,0.0,0.0,1.0,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,AllTime DerivCount,0.9785040598517888,0.9064106655320356,0.07209339431975315,0.01445405080326779,0.14170201484894596,0.015198480151984802,10000,estimable,0.16718328167183283
confirmed-only,4057,28,4029,AP,S_C3_Q10,AllTime DerivCount,0.27380509207953035,0.35988524432014435,-0.086080152240614,-0.20543993372464564,0.017647705214618083,0.11758824117588242,10000,estimable,0.7007299270072993
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,AllTime DerivCount,35.3397212543554,45.94163763066202,-10.601916376306619,-23.8847771236333,0.0,0.15978402159784022,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,AllTime DerivCount,16.41643209007741,13.56140042223786,2.855031667839551,0.0,6.869919950738916,0.10778922107789221,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,AllTime DerivCount,9.992610837438423,8.565095003518648,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.04179582041795821,10000,estimable,0.8693130686931306
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,Current DerivCount,0.9785040598517888,0.6746578378186717,0.30384622203311706,0.2155662342200813,0.38611324930264973,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,S_C3_Q10,Current DerivCount,0.27380509207953035,0.12674403217864255,0.1470610599008878,0.08022173348150076,0.19708372986397563,0.00039996000399960006,10000,estimable,0.007999200079992
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Current DerivCount,35.3397212543554,28.27177700348432,7.067944250871083,0.0,23.08861788617886,0.7603239676032397,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,Current DerivCount,16.41643209007741,7.137579169598874,9.278852920478537,5.710063335679099,13.538375973303669,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Current DerivCount,9.992610837438423,3.925668543279381,6.066942294159043,4.207415089447757,7.872966114345425,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,Vanilla PageRank,0.9785040598517888,0.9046333723362763,0.07387068751551251,0.016538443041838838,0.1432370644595879,0.007999200079992,10000,estimable,0.103989601039896
confirmed-only,4057,28,4029,AP,S_C3_Q10,Vanilla PageRank,0.27380509207953035,0.35767204790248264,-0.08386695582295228,-0.18169398050843893,0.014787245963673736,0.10478952104789521,10000,estimable,0.7007299270072993
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Vanilla PageRank,35.3397212543554,38.87369337979094,-3.5339721254355396,-18.324299909665765,6.184451219512198,0.5491450854914508,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,Vanilla PageRank,16.41643209007741,13.56140042223786,2.855031667839551,0.0,6.869919950738916,0.10718928107189281,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Vanilla PageRank,9.992610837438423,8.565095003518648,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.04179582041795821,10000,estimable,0.8693130686931306
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,Temporal Vanilla PageRank,0.9785040598517888,0.893216147218381,0.08528791263340774,0.010254099649572083,0.17863396197672823,0.0081991800819918,10000,estimable,0.103989601039896
confirmed-only,4057,28,4029,AP,S_C3_Q10,Temporal Vanilla PageRank,0.27380509207953035,0.36201880848056806,-0.0882137164010377,-0.1869709799851513,0.011353113863835626,0.08759124087591241,10000,estimable,0.7007299270072993
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Temporal Vanilla PageRank,35.3397212543554,38.87369337979094,-3.5339721254355396,-18.847851335656213,6.8242220353238,0.591940805919408,10000,estimable,1.0
