regime,n,positive_count,negative_count,metric,method,estimate,ci_low,ci_high,valid_bootstrap_replicates,status
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,0.9785040598517888,0.9697283091769157,0.9862105022901709,10000,estimable
confirmed-only,4057,28,4029,AP,S_C3_Q10,0.27380509207953035,0.1423271850526995,0.4552112124861045,10000,estimable
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,35.3397212543554,17.991130820399114,53.97339246119734,10000,estimable
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,16.41643209007741,13.589950738916256,19.24502827951104,10000,estimable
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,9.992610837438423,9.992610837438423,9.992610837438423,10000,estimable
confirmed-only,4057,28,4029,AUROC,Submitted Full ModelRank,0.9896553558132114,0.9828094824379058,0.995320778554488,10000,estimable
confirmed-only,4057,28,4029,AP,Submitted Full ModelRank,0.47883237445478893,0.31978099808190635,0.696045424676325,10000,estimable
confirmed-only,4057,28,4029,Top-1% lift,Submitted Full ModelRank,67.14547038327527,48.2052900461437,81.7423117709438,10000,estimable
confirmed-only,4057,28,4029,Top-5% lift,Submitted Full ModelRank,17.843947923997185,15.544061302681992,19.985221674876847,10000,estimable
confirmed-only,4057,28,4029,Top-10% lift,Submitted Full ModelRank,9.992610837438423,9.992610837438423,9.992610837438423,10000,estimable
confirmed-only,4057,28,4029,AUROC,AllTime DerivCount,0.9064106655320356,0.8321220271336383,0.9686865823245063,10000,estimable
confirmed-only,4057,28,4029,AP,AllTime DerivCount,0.35988524432014435,0.18864364975756362,0.5665832481899457,10000,estimable
confirmed-only,4057,28,4029,Top-1% lift,AllTime DerivCount,45.94163763066202,28.72567342333016,63.61149825783972,10000,estimable
confirmed-only,4057,28,4029,Top-5% lift,AllTime DerivCount,13.56140042223786,9.992610837438423,16.98743842364532,10000,estimable
confirmed-only,4057,28,4029,Top-10% lift,AllTime DerivCount,8.565095003518648,7.137579169598874,9.689804448425138,10000,estimable
confirmed-only,4057,28,4029,AUROC,Current DerivCount,0.6746578378186717,0.5867845519957869,0.7688978135897333,10000,estimable
confirmed-only,4057,28,4029,AP,Current DerivCount,0.12674403217864255,0.041514176843744977,0.3003249806024123,10000,estimable
