case_id,candidate_id,quality_dominance_test,score_isolated_quality,score_parent_1,score_parent_3,score_parent_10,passed,score_a_with_path,score_a_without_path,observed_path_edge_count,future_edge_count_used,target_dangling_fraction,observed_dangling_fraction,node_count,observed_edge_count,score_mass,minimum_score,maximum_score,unobserved_edge_count,stored_edge_rows,unique_exact_edge_count,max_abs_difference,future_records_present,current_edge_count_without_future_record,current_edge_count_with_future_record,topology_edge_count_without_future_record,topology_edge_count_with_future_record
quality_dominance,S_Q_000,True,0.0,1.2857142857142856,3.8571428571428568,12.857142857142858,True,,,,,,,,,,,,,,,,,,,,
child_monotonicity,S_Q_000,False,,1.2142857142857142,3.642857142857143,12.142857142857142,True,,,,,,,,,,,,,,,,,,,,
chain_propagation,S_Q_000,False,,,,,True,1.837837829213209,0.0,2.0,0.0,,,,,,,,,,,,,,,,
dangling_90,S_Q_000,False,,,,,True,,,,,0.9,0.9,100.0,10.0,100.0,0.0,100.0,0.0,,,,,,,,
dangling_95,S_Q_000,False,,,,,True,,,,,0.95,0.95,100.0,5.0,100.0,0.0,100.0,0.0,,,,,,,,
dangling_99,S_Q_000,False,,,,,True,,,,,0.99,0.99,100.0,1.0,100.0,0.0,100.0,0.0,,,,,,,,
duplicate_edge,S_Q_000,False,,,,,True,,,,,,,,,,,,,2.0,1.0,0.0,,,,,
future_edge,S_Q_000,False,,,,,True,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0
quality_dominance,S_C3_Q10,True,1.8,1.157142857142857,3.471428571428571,11.571428571428573,True,,,,,,,,,,,,,,,,,,,,
child_monotonicity,S_C3_Q10,False,,1.1942590120275665,3.3958611483399848,11.10146862543345,True,,,,,,,,,,,,,,,,,,,,
chain_propagation,S_C3_Q10,False,,,,,True,1.7422291503769234,0.0,2.0,0.0,,,,,,,,,,,,,,,,
dangling_90,S_C3_Q10,False,,,,,True,,,,,0.9,0.9,100.0,10.0,100.0,0.09915716410950626,90.18344075315888,0.0,,,,,,,,
dangling_95,S_C3_Q10,False,,,,,True,,,,,0.95,0.95,100.0,5.0,100.0,0.09957679860606289,90.14189693799977,0.0,,,,,,,,
dangling_99,S_C3_Q10,False,,,,,True,,,,,0.99,0.99,100.0,1.0,100.0,0.0999150721885875,90.10840785332984,0.0,,,,,,,,
duplicate_edge,S_C3_Q10,False,,,,,True,,,,,,,,,,,,,2.0,1.0,0.0,,,,,
future_edge,S_C3_Q10,False,,,,,True,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0
quality_dominance,S_Q_100,True,18.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
child_monotonicity,S_Q_100,False,,1.0882352937366369,2.0882352894185225,5.588235274305122,True,,,,,,,,,,,,,,,,,,,,
chain_propagation,S_Q_100,False,,,,,True,1.1234207906878275,0.0,2.0,0.0,,,,,,,,,,,,,,,,
dangling_90,S_Q_100,False,,,,,True,,,,,0.9,0.9,100.0,10.0,100.00000000000003,0.921658986388587,8.75576034752988,0.0,,,,,,,,
dangling_95,S_Q_100,False,,,,,True,,,,,0.95,0.95,100.0,5.0,100.00000000000003,0.9592326138986627,5.035971224032396,0.0,,,,,,,,
dangling_99,S_Q_100,False,,,,,True,,,,,0.99,0.99,100.0,1.0,100.00000000000001,0.9915716410506918,1.834407535981495,0.0,,,,,,,,
duplicate_edge,S_Q_100,False,,,,,True,,,,,,,,,,,,,2.0,1.0,0.0,,,,,
future_edge,S_Q_100,False,,,,,True,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0
