analysis,method,tolerance,numerator,denominator,agreement,ci95_low,ci95_high,ci_method,expert_pairs,method_ties,excluded,bootstrap_seed,bootstrap_replicates
method_tie_half,S3,1e-9,76.0,139,0.5467625899280576,0.460431654676259,0.6330935251798561,pair bootstrap percentile,240,0,101,2026081701,10000
method_tie_half,Full ModelRank,1e-9,66.0,139,0.4748201438848921,0.39568345323741005,0.5539568345323741,pair bootstrap percentile,240,0,101,2026081701,10000
method_tie_half,AllTime DerivCount,1e-9,73.0,139,0.5251798561151079,0.49640287769784175,0.5539568345323741,pair bootstrap percentile,240,217,101,2026081701,10000
method_tie_half,Current DerivCount,1e-9,69.5,139,0.5,0.5,0.5,pair bootstrap percentile,240,240,101,2026081701,10000
method_tie_half,Vanilla PageRank,1e-9,72.0,139,0.5179856115107914,0.4892086330935252,0.5503597122302158,pair bootstrap percentile,240,215,101,2026081701,10000
method_tie_half,Downloads,1e-9,69.0,139,0.49640287769784175,0.4172661870503597,0.5755395683453237,pair bootstrap percentile,240,18,101,2026081701,10000
method_tie_half,Likes,1e-9,74.5,139,0.5359712230215827,0.5035971223021583,0.5683453237410072,pair bootstrap percentile,240,193,101,2026081701,10000
method_tie_excluded,S3,1e-9,76.0,139,0.5467625899280576,0.4638590268516676,0.6271509649765357,Wilson,240,0,101,,
method_tie_excluded,Full ModelRank,1e-9,66.0,139,0.4748201438848921,0.39360287366028485,0.5573917461245286,Wilson,240,0,101,,
method_tie_excluded,AllTime DerivCount,1e-9,12.0,17,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,240,217,223,,
method_tie_excluded,Current DerivCount,1e-9,0.0,0,,,,Wilson,240,240,240,,
method_tie_excluded,Vanilla PageRank,1e-9,12.0,19,0.631578947368421,0.41039533164803066,0.8085048725486492,Wilson,240,215,221,,
method_tie_excluded,Downloads,1e-9,64.0,129,0.49612403100775193,0.41121268792455234,0.5812595416875165,Wilson,240,18,111,,
method_tie_excluded,Likes,1e-9,17.0,24,0.7083333333333334,0.5083230633550337,0.8508535180303913,Wilson,240,193,216,,
expert_tie_zero,S3,1e-9,76.0,240,0.31666666666666665,0.2610970796949443,0.37801269095029394,Wilson,240,0,0,,
expert_tie_zero,Full ModelRank,1e-9,66.0,240,0.275,0.2223885797371556,0.3347006842365459,Wilson,240,0,0,,
expert_tie_zero,AllTime DerivCount,1e-9,12.0,240,0.05,0.028830303254792054,0.08534822469261089,Wilson,240,217,0,,
expert_tie_zero,Current DerivCount,1e-9,0.0,240,0.0,0.0,0.015753919941558815,Wilson,240,240,0,,
expert_tie_zero,Vanilla PageRank,1e-9,12.0,240,0.05,0.028830303254792054,0.08534822469261089,Wilson,240,215,0,,
expert_tie_zero,Downloads,1e-9,64.0,240,0.26666666666666666,0.21471633827843417,0.32596882436095986,Wilson,240,18,0,,
expert_tie_zero,Likes,1e-9,17.0,240,0.07083333333333333,0.04469193703717767,0.11049684424599365,Wilson,240,193,0,,
tolerance_0,S3,0,76.0,139,0.5467625899280576,0.4638590268516676,0.6271509649765357,Wilson,240,0,101,,
tolerance_0,Full ModelRank,0,66.0,139,0.4748201438848921,0.39360287366028485,0.5573917461245286,Wilson,240,0,101,,
