configuration_index,domain_configuration_count,specification_id,analysis_dimensions,q,d,w_D,w_L,memory_months,formula_sha256,status,result_opened_at_freeze
1,29,S_C3_Q10,quality_share|damping|download_weight|graph_memory,0.1,0.85,0.5,0.5,all,06620615065095724A7122D008A748B7C24C33DE5A794D1F7F9CD8FC84BA7602,frozen,false
2,29,S_D_000,damping,0.1,0.0,0.5,0.5,all,6508FD82FC9972C51BA0145B0F1F7E6933DC3E32CC880E8F54698432573BFDF6,frozen,false
3,29,S_D_025,damping,0.1,0.25,0.5,0.5,all,ECF30FD429A86765E176B321582E393BADB891E1CC3EDAB2C92179B6873E37EB,frozen,false
4,29,S_D_050,damping,0.1,0.5,0.5,0.5,all,36864AB88235A866DE132EE9974132B0BABCD4EBA118AE98B4BEE2D353572CDD,frozen,false
5,29,S_D_065,damping,0.1,0.65,0.5,0.5,all,BB2D4C02977ED4C67D4C1B47E849BF7AEC67611265F6F43496DEF2CC4ED02E2A,frozen,false
6,29,S_D_075,damping,0.1,0.75,0.5,0.5,all,18061F5EE1F036EBAEBD994DE185FEF7F90C8FB7C1F192CD576955282A3E8B8D,frozen,false
7,29,S_D_090,damping,0.1,0.9,0.5,0.5,all,C1E83CF45A868A2DE5DC582B3BA91DFF625A62E1314B77A9ED3A7CBEE074E593,frozen,false
8,29,S_D_095,damping,0.1,0.95,0.5,0.5,all,0EF38D998018234D29E7E8FF201CEE468CF718A7A51CCED7CD0B7827FE2F34D6,frozen,false
9,29,S_D_099,damping,0.1,0.99,0.5,0.5,all,552B7DC32288FF422BC40264105ACA3D00CD8B3C9BE716BFC96C0203621C6F32,frozen,false
10,29,S_MEM_01,graph_memory,0.1,0.85,0.5,0.5,1,B8C71EB73D1C7B2F2F2230C53228EFB197B400FBD7AF57214D11C235F9462386,frozen,false
11,29,S_MEM_03,graph_memory,0.1,0.85,0.5,0.5,3,8FE1F9E8213AD44964AAADC5A3F2946751EFFF0BE41F5C78EF29FD7DE7D362F5,frozen,false
12,29,S_MEM_06,graph_memory,0.1,0.85,0.5,0.5,6,42CA1F9B18F9D1BE5F02720F186C9B8DCC10290CDA5DAA2E2843EEF428DD8CDE,frozen,false
13,29,S_MEM_12,graph_memory,0.1,0.85,0.5,0.5,12,183B26716F1E2692CBB2B2E7E91B807311DE34F51CB2DD3562CE27D16ED95DDC,frozen,false
14,29,S_Q_000,quality_share,0.0,0.85,0.5,0.5,all,F429C389D06BCCA526F890FE7AD465379E05D1E2D13BEE7230FB5616EA549C35,frozen,false
15,29,S_Q_005,quality_share,0.05,0.85,0.5,0.5,all,686641EF8539E664937D20C0BC869A6F7A0098DB152E97685845DB3B5E465ABC,frozen,false
16,29,S_Q_015,quality_share,0.15,0.85,0.5,0.5,all,53A23075B612978F77A8E4369A01CE3730C5FBFCCFF8E359DE85F10DEB2A712C,frozen,false
17,29,S_Q_020,quality_share,0.2,0.85,0.5,0.5,all,EC67272FCBF8B8250EE0BA971E20DF99DB7A2D59FD514772401C5533F5EE93BA,frozen,false
18,29,S_Q_030,quality_share,0.3,0.85,0.5,0.5,all,5C46AE0B3F628226573CCEADEBE4160ACDE8DB7AF41477E39D642E14AD01F209,frozen,false
19,29,S_Q_040,quality_share,0.4,0.85,0.5,0.5,all,F0078CA1908B6E86B364B26281462E0C95EDBF6B8517DBBF67B952607FB9B14C,frozen,false
20,29,S_Q_050,quality_share,0.5,0.85,0.5,0.5,all,2811AE43505C0A493DE86D641F487D82FC80A6238E2A31B5F997DFDF8330AE3D,frozen,false
21,29,S_Q_060,quality_share,0.6,0.85,0.5,0.5,all,E1B7A327DE8D20EA1B23E0350B92EBC4963D88B2E3948E1CA53BAE90BCC92528,frozen,false
22,29,S_Q_070,quality_share,0.7,0.85,0.5,0.5,all,803498E1F5D659CA81FC3575EF745A2C3ABF115BE39A77A63E998C56CFB2C606,frozen,false
23,29,S_Q_080,quality_share,0.8,0.85,0.5,0.5,all,8CB1E2244FB5245B8FE9EB1E6ABD0C4A45580294549C04B632F653125A5209E3,frozen,false
24,29,S_Q_090,quality_share,0.9,0.85,0.5,0.5,all,D9C2A0DE5C3AB655D88AEC43C1191DE8FC8833D689774520BBC431887A01F515,frozen,false
25,29,S_Q_100,quality_share,1.0,0.85,0.5,0.5,all,6E47BB418BE9590C48619ADFEE40E342EAFF784A5380E027339B6F1B1A0A7D61,frozen,false
26,29,S_WD_000,download_weight,0.1,0.85,0.0,1.0,all,595EE40EFCBDBEF80CF5592A32C1A950A02D838634076F518C84E00170BC7D5E,frozen,false
27,29,S_WD_025,download_weight,0.1,0.85,0.25,0.75,all,43448BED547D3DFDE9BA63DEB5651A918062B7DF07B03BA17C9342D652EA0D6D,frozen,false
28,29,S_WD_075,download_weight,0.1,0.85,0.75,0.25,all,E0204E7E82319E409FFD7977141DD84838C3DB1D727EE5DB7FEA7072A029A45F,frozen,false
29,29,S_WD_100,download_weight,0.1,0.85,1.0,0.0,all,1F72883D323A033E59CDB9C1CA12DC88F4576438D441530156DE986D4C79C158,frozen,false
