"method","role","relation","count","share","total","analytical_edge_total","typed_edge_total","excluded_unmapped_or_ambiguous"
"S_C3_Q10","Popular Root","finetune","234334","0.4043413367383033","579545","707674","705039","2635"
"S_C3_Q10","Popular Root","adapter","260657","0.4497614507932947","579545","707674","705039","2635"
"S_C3_Q10","Popular Root","quantized","64850","0.11189812697892312","579545","707674","705039","2635"
"S_C3_Q10","Popular Root","merge","19704","0.03399908548947882","579545","707674","705039","2635"
"S_C3_Q10","Popular Leaf","finetune","87","0.4887640449438202","178","707674","705039","2635"
"S_C3_Q10","Popular Leaf","adapter","26","0.14606741573033707","178","707674","705039","2635"
"S_C3_Q10","Popular Leaf","quantized","61","0.34269662921348315","178","707674","705039","2635"
"S_C3_Q10","Popular Leaf","merge","4","0.02247191011235955","178","707674","705039","2635"
"S_C3_Q10","Hidden Root","finetune","12031","0.13587134516132676","88547","707674","705039","2635"
"S_C3_Q10","Hidden Root","adapter","8634","0.09750753836945351","88547","707674","705039","2635"
"S_C3_Q10","Hidden Root","quantized","46500","0.5251448383344438","88547","707674","705039","2635"
"S_C3_Q10","Hidden Root","merge","21382","0.24147627813477587","88547","707674","705039","2635"
"S_C3_Q10","Long Tail","finetune","12173","0.33106693138241455","36769","707674","705039","2635"
"S_C3_Q10","Long Tail","adapter","3331","0.09059261878212625","36769","707674","705039","2635"
"S_C3_Q10","Long Tail","quantized","17770","0.48328755201392476","36769","707674","705039","2635"
"S_C3_Q10","Long Tail","merge","3495","0.09505289782153445","36769","707674","705039","2635"
