month,vt_size,new_models,et_edges,active_bases
2024-07,136705,136705,0,0
2024-08,174484,37779,35318,2627
2024-09,254016,79532,55069,2873
2024-10,278265,24249,15445,3044
2024-11,306140,27875,18012,4832
2024-12,343340,37200,26526,6274
2025-01,399316,55976,47911,4866
2025-02,434003,34687,20969,4230
2025-03,467627,33624,21977,5104
2025-04,499532,31905,22022,4027
2025-05,529182,29650,27246,5014
2025-06,552524,23342,20844,4795
2025-07,574437,21913,13788,3332
2025-08,595863,21426,16537,3702
2025-09,614625,18762,15937,3781
2025-10,634093,19468,17328,3410
2025-11,652368,18275,14281,3169
2025-12,673096,20728,19401,4459
2026-01,693725,20629,19947,4225
2026-02,721364,27639,27831,4281
