family,metric,statistic,method,mean,count
adoption_breadth,future_child_owner_breadth_3m,lift,AllTime DerivCount,3.8432433966500157,6
adoption_breadth,future_child_owner_breadth_3m,lift,Current DerivCount,2.2519040208927135,6
adoption_breadth,future_child_owner_breadth_3m,lift,Downloads,2.726524246894005,6
adoption_breadth,future_child_owner_breadth_3m,lift,EventValue_time_safe_typed,2.2519040208927135,6
adoption_breadth,future_child_owner_breadth_3m,lift,Likes,3.7865439866762265,6
adoption_breadth,future_child_owner_breadth_3m,lift,MTPR_time_safe_typed,3.9031025353706448,6
adoption_breadth,future_child_owner_breadth_3m,lift,No PageRank propagation,3.8097567308428553,6
adoption_breadth,future_child_owner_breadth_3m,lift,No child quality,3.9473785210818044,6
adoption_breadth,future_child_owner_breadth_3m,lift,No event injection,3.8634890613294393,6
adoption_breadth,future_child_owner_breadth_3m,lift,No parent size,3.8699226620780567,6
adoption_breadth,future_child_owner_breadth_3m,lift,No quality teleport,3.682159069442959,6
adoption_breadth,future_child_owner_breadth_3m,lift,No temporal inheritance,3.840272703962544,6
adoption_breadth,future_child_owner_breadth_3m,lift,No type weight,3.936022222844984,6
adoption_breadth,future_child_owner_breadth_3m,lift,No-Propagation ModelRank,3.8550837212183446,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_C3_Q10,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_000,3.8550837212183446,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_025,4.1548562671147575,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_050,4.165409288483681,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_065,4.159381421692996,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_075,4.156414277879817,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_090,4.152261480309217,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_095,4.157331755373735,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_D_099,4.159415685934719,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_MEM_01,3.8550837212183446,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_MEM_03,4.114886547731249,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_MEM_06,4.200639598972209,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_MEM_12,4.184133698124497,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_000,2.4789515003996794,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_005,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_015,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_020,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_030,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_040,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_050,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_060,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_070,4.150095992949706,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_080,4.149573036152464,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_090,4.149050079355224,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_Q_100,4.116085550389861,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_WD_000,4.131877499212359,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_WD_025,4.340788775292151,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_WD_075,3.992302501785064,6
adoption_breadth,future_child_owner_breadth_3m,lift,S_WD_100,3.9157631057879403,6
adoption_breadth,future_child_owner_breadth_3m,lift,Simplified_MTPR_time_safe_typed,3.808063152296725,6
adoption_breadth,future_child_owner_breadth_3m,lift,Vanilla PageRank,3.8432433966500157,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,AllTime DerivCount,4.385781110554834,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,Current DerivCount,2.300097156803677,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,Downloads,3.1328371934960906,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,EventValue_time_safe_typed,2.300097156803677,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,Likes,4.500741137247552,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,MTPR_time_safe_typed,4.488085319824542,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No PageRank propagation,4.366736916528134,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No child quality,4.532297652722016,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No event injection,4.443268519391155,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No parent size,4.452006865213185,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No quality teleport,4.175785209929708,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No temporal inheritance,4.40662874521484,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No type weight,4.524605444847713,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,No-Propagation ModelRank,4.417097142849438,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_C3_Q10,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_000,4.417097142849438,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_025,4.807987868719234,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_050,4.815923469278242,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_065,4.803502498443134,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_075,4.800060422890946,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_090,4.805990168125283,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_095,4.813176024612697,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_D_099,4.816400840893204,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_MEM_01,4.417097142849438,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_MEM_03,4.734692999974642,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_MEM_06,4.847593756428536,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_MEM_12,4.815381913963315,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_000,2.547678393750481,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_005,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_015,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_020,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_030,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_040,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_050,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_060,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_070,4.802570815669516,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_080,4.801708746212943,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_090,4.800846676756371,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_Q_100,4.768049584729199,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_WD_000,4.8809425577831815,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_WD_025,5.102550893623197,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_WD_075,4.574023881689042,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,S_WD_100,4.471087880110897,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,Simplified_MTPR_time_safe_typed,4.360750009176896,6
adoption_breadth,future_cross_owner_reuse_share_3m,lift,Vanilla PageRank,4.385781110554834,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,AllTime DerivCount,2.6550742843147166,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,Current DerivCount,2.3898058860480274,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,Downloads,2.023365831365881,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,EventValue_time_safe_typed,2.3898058860480274,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,Likes,2.6361129980696014,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,MTPR_time_safe_typed,2.758332324048682,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,No PageRank propagation,2.6178148508890042,6
