design,band,lower,upper,n,n_hi,n_lo,median_score,status,desc_count_hi_mean,desc_count_lo_mean,desc_count_effect_r,desc_count_p_value,desc_depth_hi_mean,desc_depth_lo_mean,desc_depth_effect_r,desc_depth_p_value,active_months_hi_mean,active_months_lo_mean,active_months_effect_r,active_months_p_value,type_diversity_hi_mean,type_diversity_lo_mean,type_diversity_effect_r,type_diversity_p_value
download_only,1-2,1,2.0,139404,139404,0,0.03341871210720711,insufficient_split,1.4401380161257926,,,1.0,0.18882528478379387,,,1.0,0.11848297035953058,,,1.0,0.11631660497546699,,,1.0
download_only,3,3,3.0,25956,25956,0,0.06683742421441421,insufficient_split,1.2879873632300818,,,1.0,0.22411003236245955,,,1.0,0.1704422869471413,,,1.0,0.16319926028663892,,,1.0
download_only,4,4,4.0,20731,20731,0,0.07759584653667663,insufficient_split,3.139404756162269,,,1.0,0.3530943996912836,,,1.0,0.2164873860402296,,,1.0,0.20409049249915584,,,1.0
download_only,5-7,5,7.0,34848,23704,11144,0.0938181859229939,estimable,4.741182922713466,0.017049533381191674,0.23095707159053558,0.0,0.5091967600404995,0.012832017229002153,0.23023275715761193,0.0,0.3318005399932501,0.013280689160086146,0.23016622106361329,0.0,0.2948025649679379,0.012832017229002153,0.22991872844769623,0.0
download_only,8-16,8,16.0,37108,19026,18082,0.12723689803020097,estimable,9.504047093451067,0.01719942484238469,0.2740851960327477,0.0,0.6206244087038789,0.008406149762194448,0.27351746048488845,0.0,0.4405550299590035,0.008074328061055193,0.2737057968271037,0.0,0.36166298749080206,0.008129631677911735,0.27340858857437866,0.0
download_only,17-43,17,43.0,35643,18277,17366,0.17141403245967055,estimable,5.255731246922362,0.00535529194978694,0.18910471635611548,0.0,0.33626962849482955,0.0038581135552228493,0.18886887709465383,0.0,0.32899272309459976,0.003742945986410227,0.18897102632363127,0.0,0.24905619084094763,0.003742945986410227,0.18857803125158967,0.0
download_only,44-140,44,140.0,36689,18352,18337,0.22662430796169308,estimable,6.1360614646904965,0.006271472978131646,0.21933562978297583,0.0,0.38862249346120314,0.00496264383486939,0.21897234744221805,0.0,0.3906386224934612,0.005289851120684954,0.21907634404006093,0.0,0.29833260680034873,0.005017178382505317,0.21887576198004433,0.0
download_only,141+,141,,36677,18341,18336,0.3735349656415341,estimable,53.341257292405,0.042975567190226875,0.5612150661317927,0.0,1.0051796521454663,0.029013961605584643,0.5551874760987623,0.0,2.0073060356578156,0.031031849912739964,0.5594461366607948,0.0,0.9769369172891337,0.029232111692844676,0.5570979634599258,0.0
count_only,1,1,1.0,32424,16224,16200,0.1802751126699448,estimable,4.233912721893491,2.4274074074074075,0.0004219058185404023,0.8884773987412948,1.3480645956607495,1.250925925925926,-0.00013852363211341867,0.9632738712463715,1.0,1.0,0.0,1.0,0.998767258382643,0.9978395061728395,0.0009277522098034563,0.042379697860245154
count_only,2,2,2.0,13752,6876,6876,0.42211332951268055,estimable,22.687463641652123,5.464514252472368,0.0025730458033117465,0.6485552801629519,1.9790575916230366,1.4005235602094241,0.0014157758765682704,0.8019283093119836,1.2168411867364748,1.2172774869109948,-0.00043630017452012115,0.9505223281766918,1.1449970913321699,1.12565445026178,0.019300466232887725,0.0009492903516640584
count_only,3-4,3,4.0,8728,4364,4364,0.6380660418756345,estimable,19.795600366636112,8.17621448212649,0.1513335926558519,2.695268553700392e-39,2.0584326306141154,1.6805682859761686,0.06985031265726338,2.087156441564226e-12,1.8004124656278644,1.5357470210815765,0.19457873812990378,5.905556914125358e-67,1.4541704857928506,1.327910174152154,0.11824056672331995,6.368502644979707e-30
count_only,5-8,5,8.0,4421,2211,2210,1.0635526876565464,estimable,50.976933514246944,21.999547511312215,0.17401044960307477,4.5589083879166506e-24,2.861148801447309,2.276018099547511,0.0995307297326613,4.0158712539686877e-10,2.6834011759384895,2.1538461538461537,0.24598030006282867,1.5148864317001802e-48,1.8602442333785618,1.6307692307692307,0.1823838438412626,2.139650483604216e-31
count_only,9+,9,,5434,2717,2717,2.7221586188060543,estimable,417.46485093853516,50.63194700036805,0.5955377942476716,0.0,4.422892896577107,2.775855723224144,0.3585907728828519,3.270576589287453e-123,8.143172616856827,3.66543982333456,0.5583116107107351,5.865965277570638e-281,2.7592933382407066,1.951417004048583,0.48934536010064367,4.165192658357366e-237
